'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':2.029722, 'head_position_x':0.02001898, 'head_position_y':1.020588, 'head_position_z':-0.3918999
'global_time':2.041339, 'head_position_x':0.01984083, 'head_position_y':1.022234, 'head_position_z':-0.3915106
'global_time':2.052571, 'head_position_x':0.01955577, 'head_position_y':1.02403, 'head_position_z':-0.3911152
'global_time':2.062815, 'head_position_x':0.01925258, 'head_position_y':1.025832, 'head_position_z':-0.3907641
'global_time':2.073319, 'head_position_x':0.01895872, 'head_position_y':1.027779, 'head_position_z':-0.3905064
'global_time':2.089002, 'head_position_x':0.01881529, 'head_position_y':1.029699, 'head_position_z':-0.3903137
'global_time':2.100884, 'head_position_x':0.01812968, 'head_position_y':1.034278, 'head_position_z':-0.3895093
'global_time':2.11167, 'head_position_x':0.0177425, 'head_position_y':1.036863, 'head_position_z':-0.388991
'global_time':2.122352, 'head_position_x':0.01734204, 'head_position_y':1.039901, 'head_position_z':-0.3883383
'global_time':2.135635, 'head_position_x':0.01690319, 'head_position_y':1.043199, 'head_position_z':-0.3876329
'global_time':2.147692, 'head_position_x':0.01648061, 'head_position_y':1.046592, 'head_position_z':-0.3871787
'global_time':2.163839, 'head_position_x':0.01594328, 'head_position_y':1.050073, 'head_position_z':-0.3868421
'global_time':2.179892, 'head_position_x':0.0146919, 'head_position_y':1.05726, 'head_position_z':-0.386901
'global_time':2.191359, 'head_position_x':0.01399814, 'head_position_y':1.060817, 'head_position_z':-0.3873148
'global_time':2.201436, 'head_position_x':0.01358951, 'head_position_y':1.064304, 'head_position_z':-0.3879063
'global_time':2.21268, 'head_position_x':0.01298316, 'head_position_y':1.067964, 'head_position_z':-0.3887474
'global_time':2.224691, 'head_position_x':0.01236473, 'head_position_y':1.071669, 'head_position_z':-0.3896849
'global_time':2.234498, 'head_position_x':0.01184771, 'head_position_y':1.075279, 'head_position_z':-0.3909071
'global_time':2.243111, 'head_position_x':0.01116617, 'head_position_y':1.078896, 'head_position_z':-0.3921936
'global_time':2.253726, 'head_position_x':0.01039294, 'head_position_y':1.082504, 'head_position_z':-0.3934818
'global_time':2.26412, 'head_position_x':0.009734161, 'head_position_y':1.086033, 'head_position_z':-0.395038
'global_time':2.275455, 'head_position_x':0.009035469, 'head_position_y':1.089483, 'head_position_z':-0.3966794
'global_time':2.286211, 'head_position_x':0.008609994, 'head_position_y':1.09246, 'head_position_z':-0.3990935
'global_time':2.298633, 'head_position_x':0.007830215, 'head_position_y':1.095279, 'head_position_z':-0.4013478
'global_time':2.309386, 'head_position_x':0.007083124, 'head_position_y':1.09757, 'head_position_z':-0.4040539
'global_time':2.319588, 'head_position_x':0.006319716, 'head_position_y':1.099507, 'head_position_z':-0.4068787
'global_time':2.331422, 'head_position_x':0.005628242, 'head_position_y':1.101405, 'head_position_z':-0.4096445
'global_time':2.342367, 'head_position_x':0.004929337, 'head_position_y':1.103189, 'head_position_z':-0.4123084
'global_time':2.353227, 'head_position_x':0.004299653, 'head_position_y':1.104771, 'head_position_z':-0.4149977
'global_time':2.364017, 'head_position_x':0.003698617, 'head_position_y':1.106307, 'head_position_z':-0.4175803
'global_time':2.375559, 'head_position_x':0.003120038, 'head_position_y':1.10778, 'head_position_z':-0.4201177
'global_time':2.386016, 'head_position_x':0.002616518, 'head_position_y':1.108985, 'head_position_z':-0.422551
'global_time':2.397273, 'head_position_x':0.002079975, 'head_position_y':1.110147, 'head_position_z':-0.424911
'global_time':2.408879, 'head_position_x':0.001530958, 'head_position_y':1.111079, 'head_position_z':-0.4272121
'global_time':2.419589, 'head_position_x':0.0009618483, 'head_position_y':1.111999, 'head_position_z':-0.4294711
'global_time':2.431009, 'head_position_x':0.00046117, 'head_position_y':1.112647, 'head_position_z':-0.4315718
'global_time':2.441875, 'head_position_x':-1.903041E-05, 'head_position_y':1.113219, 'head_position_z':-0.433544
'global_time':2.452918, 'head_position_x':-0.0005605661, 'head_position_y':1.113709, 'head_position_z':-0.4355238
'global_time':2.464042, 'head_position_x':-0.001048721, 'head_position_y':1.11397, 'head_position_z':-0.4373417
'global_time':2.475435, 'head_position_x':-0.001621128, 'head_position_y':1.114136, 'head_position_z':-0.439213
'global_time':2.485987, 'head_position_x':-0.002257067, 'head_position_y':1.113936, 'head_position_z':-0.4408801
