'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.944208, 'head_position_x':0.05655868, 'head_position_y':0.9291015, 'head_position_z':-0.4527107
'global_time':1.957219, 'head_position_x':0.05656584, 'head_position_y':0.9290766, 'head_position_z':-0.4525923
'global_time':1.967405, 'head_position_x':0.0565361, 'head_position_y':0.929033, 'head_position_z':-0.4525335
'global_time':1.977362, 'head_position_x':0.05650881, 'head_position_y':0.928976, 'head_position_z':-0.4524636
'global_time':1.990508, 'head_position_x':0.05655381, 'head_position_y':0.9288608, 'head_position_z':-0.452536
'global_time':2.001585, 'head_position_x':0.05651487, 'head_position_y':0.9288002, 'head_position_z':-0.4525809
'global_time':2.012867, 'head_position_x':0.05649284, 'head_position_y':0.9287212, 'head_position_z':-0.452695
'global_time':2.023962, 'head_position_x':0.0564355, 'head_position_y':0.9286974, 'head_position_z':-0.4527719
'global_time':2.036596, 'head_position_x':0.05648319, 'head_position_y':0.9286951, 'head_position_z':-0.4529302
'global_time':2.04862, 'head_position_x':0.05647194, 'head_position_y':0.9287003, 'head_position_z':-0.453031
'global_time':2.059758, 'head_position_x':0.05639793, 'head_position_y':0.9287721, 'head_position_z':-0.453004
'global_time':2.074839, 'head_position_x':0.05653394, 'head_position_y':0.9287987, 'head_position_z':-0.4531338
'global_time':2.08721, 'head_position_x':0.05647073, 'head_position_y':0.9290441, 'head_position_z':-0.4531023
'global_time':2.098041, 'head_position_x':0.05635523, 'head_position_y':0.929187, 'head_position_z':-0.4529752
'global_time':2.111078, 'head_position_x':0.05651719, 'head_position_y':0.9292431, 'head_position_z':-0.4529396
'global_time':2.122923, 'head_position_x':0.05642352, 'head_position_y':0.9293649, 'head_position_z':-0.4527321
'global_time':2.135493, 'head_position_x':0.05628234, 'head_position_y':0.9294755, 'head_position_z':-0.4524503
'global_time':2.146109, 'head_position_x':0.05615124, 'head_position_y':0.9295581, 'head_position_z':-0.4521971
'global_time':2.157917, 'head_position_x':0.05608944, 'head_position_y':0.929612, 'head_position_z':-0.4520206
'global_time':2.170501, 'head_position_x':0.05613612, 'head_position_y':0.9295307, 'head_position_z':-0.4520032
'global_time':2.183604, 'head_position_x':0.05608652, 'head_position_y':0.9295171, 'head_position_z':-0.4520354
'global_time':2.195221, 'head_position_x':0.05622441, 'head_position_y':0.9292852, 'head_position_z':-0.452523
'global_time':2.207581, 'head_position_x':0.05631645, 'head_position_y':0.9291678, 'head_position_z':-0.4529194
'global_time':2.218884, 'head_position_x':0.05630623, 'head_position_y':0.9291342, 'head_position_z':-0.4531681
