'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':1.341125, 'gaze_vector_x':-0.003884896, 'gaze_vector_y':-0.7354262, 'gaze_vector_z':0.6775937
'gaze_vector':1.35162, 'gaze_vector_x':-0.003797348, 'gaze_vector_y':-0.7356382, 'gaze_vector_z':0.677364
'gaze_vector':1.363538, 'gaze_vector_x':-0.00386093, 'gaze_vector_y':-0.7359092, 'gaze_vector_z':0.6770692
'gaze_vector':1.374907, 'gaze_vector_x':-0.003871057, 'gaze_vector_y':-0.7361907, 'gaze_vector_z':0.6767631
'gaze_vector':1.386413, 'gaze_vector_x':-0.003719021, 'gaze_vector_y':-0.7364425, 'gaze_vector_z':0.6764899
'gaze_vector':1.397461, 'gaze_vector_x':-0.003524354, 'gaze_vector_y':-0.736783, 'gaze_vector_z':0.6761202
'gaze_vector':1.408575, 'gaze_vector_x':-0.003340785, 'gaze_vector_y':-0.7371644, 'gaze_vector_z':0.6757051
'gaze_vector':1.419685, 'gaze_vector_x':-0.003078872, 'gaze_vector_y':-0.7374858, 'gaze_vector_z':0.6753557
'gaze_vector':1.434871, 'gaze_vector_x':-0.002887649, 'gaze_vector_y':-0.7375607, 'gaze_vector_z':0.6752747
'gaze_vector':1.445475, 'gaze_vector_x':-0.002912255, 'gaze_vector_y':-0.7378263, 'gaze_vector_z':0.6749844
'gaze_vector':1.456118, 'gaze_vector_x':-0.002989072, 'gaze_vector_y':-0.7378362, 'gaze_vector_z':0.6749731
'gaze_vector':1.467746, 'gaze_vector_x':-0.003168304, 'gaze_vector_y':-0.7378676, 'gaze_vector_z':0.6749381
'gaze_vector':1.479561, 'gaze_vector_x':-0.003576753, 'gaze_vector_y':-0.7378228, 'gaze_vector_z':0.6749851
'gaze_vector':1.492079, 'gaze_vector_x':-0.003764541, 'gaze_vector_y':-0.7377936, 'gaze_vector_z':0.675016
'gaze_vector':1.50442, 'gaze_vector_x':-0.004229611, 'gaze_vector_y':-0.7376163, 'gaze_vector_z':0.6752069
'gaze_vector':1.518124, 'gaze_vector_x':-0.00462159, 'gaze_vector_y':-0.7373905, 'gaze_vector_z':0.6754509
'gaze_vector':1.530165, 'gaze_vector_x':-0.005691963, 'gaze_vector_y':-0.7364687, 'gaze_vector_z':0.6764476
'gaze_vector':1.541868, 'gaze_vector_x':-0.006053385, 'gaze_vector_y':-0.7360761, 'gaze_vector_z':0.6768717
'gaze_vector':1.551077, 'gaze_vector_x':-0.006474002, 'gaze_vector_y':-0.7360426, 'gaze_vector_z':0.6769043
'gaze_vector':1.56184, 'gaze_vector_x':-0.006856161, 'gaze_vector_y':-0.7357907, 'gaze_vector_z':0.6771743
'gaze_vector':1.572714, 'gaze_vector_x':-0.007206595, 'gaze_vector_y':-0.7360039, 'gaze_vector_z':0.676939
'gaze_vector':1.906047, 'gaze_vector_x':-0.007488821, 'gaze_vector_y':-0.7362068, 'gaze_vector_z':0.6767151
'gaze_vector':1.933455, 'gaze_vector_x':-0.03922126, 'gaze_vector_y':-0.7023207, 'gaze_vector_z':0.7107794
