'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':1.752037, 'head_position_x':-0.4630074, 'head_position_y':1.100337, 'head_position_z':-0.3976452
'global_time':1.768955, 'head_position_x':-0.4625579, 'head_position_y':1.100417, 'head_position_z':-0.3979422
'global_time':1.780492, 'head_position_x':-0.4617038, 'head_position_y':1.100757, 'head_position_z':-0.3990438
'global_time':1.792633, 'head_position_x':-0.4610554, 'head_position_y':1.100919, 'head_position_z':-0.3994868
'global_time':1.805073, 'head_position_x':-0.4604046, 'head_position_y':1.101112, 'head_position_z':-0.3999518
'global_time':1.816682, 'head_position_x':-0.4597, 'head_position_y':1.101297, 'head_position_z':-0.400453
'global_time':1.828655, 'head_position_x':-0.4589847, 'head_position_y':1.10148, 'head_position_z':-0.4009928
'global_time':1.840553, 'head_position_x':-0.4581472, 'head_position_y':1.101664, 'head_position_z':-0.4016658
'global_time':1.851793, 'head_position_x':-0.4573121, 'head_position_y':1.101887, 'head_position_z':-0.4023973
'global_time':1.864078, 'head_position_x':-0.456384, 'head_position_y':1.102109, 'head_position_z':-0.403118
'global_time':1.875114, 'head_position_x':-0.4554033, 'head_position_y':1.102323, 'head_position_z':-0.4039059
'global_time':1.887728, 'head_position_x':-0.4544674, 'head_position_y':1.102558, 'head_position_z':-0.4046859
'global_time':1.900222, 'head_position_x':-0.4534051, 'head_position_y':1.102831, 'head_position_z':-0.4055582
'global_time':1.913051, 'head_position_x':-0.4523484, 'head_position_y':1.103119, 'head_position_z':-0.4063978
'global_time':1.932359, 'head_position_x':-0.4501239, 'head_position_y':1.103752, 'head_position_z':-0.4080557
'global_time':1.943063, 'head_position_x':-0.4489834, 'head_position_y':1.104045, 'head_position_z':-0.4089625
'global_time':1.953901, 'head_position_x':-0.4479797, 'head_position_y':1.103797, 'head_position_z':-0.4086759
'global_time':1.964986, 'head_position_x':-0.4468682, 'head_position_y':1.104037, 'head_position_z':-0.4095706
'global_time':1.975494, 'head_position_x':-0.4455812, 'head_position_y':1.102968, 'head_position_z':-0.4107354
'global_time':1.986749, 'head_position_x':-0.4444512, 'head_position_y':1.103166, 'head_position_z':-0.4116912
'global_time':1.997812, 'head_position_x':-0.4431755, 'head_position_y':1.103369, 'head_position_z':-0.413011
'global_time':2.007647, 'head_position_x':-0.4420332, 'head_position_y':1.103565, 'head_position_z':-0.4139713
'global_time':2.018738, 'head_position_x':-0.4409315, 'head_position_y':1.103738, 'head_position_z':-0.4148911
