'global_time':12.96656, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.05530199, 'gaze_y':0.03844488, 'gaze_z':3.177299, 'useGaze': True
'global_time':13.32677, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2793921, 'gaze_y':0.1497556, 'gaze_z':3.177272, 'useGaze': True
'global_time':13.96151, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.185569, 'gaze_y':0.5059349, 'gaze_z':2.906996, 'useGaze': True
'global_time':15.17309, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.281717, 'gaze_y':0.2706264, 'gaze_z':2.907314, 'useGaze': True
'global_time':3.839991, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.6576336, 'gaze_y':0.2087619, 'gaze_z':3.1817, 'useGaze': True
'global_time':5.574622, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3534352, 'gaze_y':0.1857399, 'gaze_z':3.179023, 'useGaze': True
'global_time':6.228811, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7742878, 'gaze_y':0.3653663, 'gaze_z':2.99057, 'useGaze': True
'global_time':6.654259, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3394106, 'gaze_y':0.2197723, 'gaze_z':3.36936, 'useGaze': True
'global_time':7.011745, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9679778, 'gaze_y':0.4414624, 'gaze_z':2.905901, 'useGaze': True
'global_time':7.54829, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3993051, 'gaze_y':0.130768, 'gaze_z':3.176598, 'useGaze': True
'global_time':8.615863, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.632247, 'gaze_y':0.2180202, 'gaze_z':0.03937149, 'useGaze': True
'global_time':4.012012, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.05029657, 'gaze_y':0.1810194, 'gaze_z':3.886305, 'useGaze': True
'global_time':4.565475, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.8674517, 'gaze_y':0.5525695, 'gaze_z':2.908936, 'useGaze': True
'global_time':4.989999, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3924155, 'gaze_y':0.219196, 'gaze_z':3.475081, 'useGaze': True
'global_time':7.302061, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9836015, 'gaze_y':0.4390229, 'gaze_z':2.908677, 'useGaze': True
'global_time':8.931909, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.614252, 'gaze_y':0.200945, 'gaze_z':0.1546081, 'useGaze': True
'global_time':4.637555, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9487971, 'gaze_y':0.6429654, 'gaze_z':2.902885, 'useGaze': True
'global_time':6.620661, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4632651, 'gaze_y':-0.5697218, 'gaze_z':3.187785, 'useGaze': True
'global_time':8.145002, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2398928, 'gaze_y':0.141929, 'gaze_z':3.185331, 'useGaze': True
'global_time':9.245065, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3473465, 'gaze_y':-0.1393971, 'gaze_z':3.185694, 'useGaze': True
'global_time':10.00167, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2200503, 'gaze_y':0.1486288, 'gaze_z':3.186142, 'useGaze': True
'global_time':10.5305, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7702672, 'gaze_y':0.1341245, 'gaze_z':2.950991, 'useGaze': True
'global_time':13.99391, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.8359917, 'gaze_y':0.8118744, 'gaze_z':2.914888, 'useGaze': True
'global_time':14.36178, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.8166406, 'gaze_y':0.2162609, 'gaze_z':3.185132, 'useGaze': True
'global_time':14.93776, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7708257, 'gaze_y':0.2071072, 'gaze_z':3.460715, 'useGaze': True
'global_time':15.579, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3002504, 'gaze_y':0.1903282, 'gaze_z':3.185455, 'useGaze': True
'global_time':16.05409, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.859067, 'gaze_y':0.2446843, 'gaze_z':2.915417, 'useGaze': True
'global_time':16.59788, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2754602, 'gaze_y':0.1912994, 'gaze_z':3.185441, 'useGaze': True
'global_time':18.42025, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7744143, 'gaze_y':-0.1748179, 'gaze_z':3.698777, 'useGaze': True
