'global_time':4.225093, 'center_x':0.5999998, 'center_y':2, 'center_z':6, 'gaze_x':0.1556936, 'gaze_y':2.40726, 'gaze_z':5.995231
'global_time':4.237991, 'center_x':0.4999999, 'center_y':2, 'center_z':6, 'gaze_x':0.04389492, 'gaze_y':2.393804, 'gaze_z':5.995286
'global_time':4.250856, 'center_x':0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.06765112, 'gaze_y':2.383669, 'gaze_z':5.995318
'global_time':4.262482, 'center_x':0.3, 'center_y':2, 'center_z':6, 'gaze_x':-0.2870352, 'gaze_y':2.371869, 'gaze_z':5.995324
'global_time':4.275255, 'center_x':0.2, 'center_y':2, 'center_z':6, 'gaze_x':-0.3976235, 'gaze_y':2.365068, 'gaze_z':5.995332
'global_time':4.28874, 'center_x':0.1, 'center_y':2, 'center_z':6, 'gaze_x':-0.5043962, 'gaze_y':2.357211, 'gaze_z':5.995348
'global_time':4.301041, 'center_x':5.960464E-08, 'center_y':2, 'center_z':6, 'gaze_x':-0.6130348, 'gaze_y':2.348045, 'gaze_z':5.995373
'global_time':4.313432, 'center_x':-0.0999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.7165241, 'gaze_y':2.336712, 'gaze_z':5.995414
'global_time':4.327918, 'center_x':-0.1999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.8145441, 'gaze_y':2.32337, 'gaze_z':5.995473
'global_time':4.341189, 'center_x':-0.2999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.993247, 'gaze_y':2.29527, 'gaze_z':5.995605
'global_time':4.353652, 'center_x':-0.3999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.077353, 'gaze_y':2.279076, 'gaze_z':5.995688
'global_time':4.366508, 'center_x':-0.4999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.155845, 'gaze_y':2.262372, 'gaze_z':5.995777
'global_time':4.379183, 'center_x':-0.5999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.230833, 'gaze_y':2.240591, 'gaze_z':5.995907
'global_time':4.390805, 'center_x':-0.6999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.301394, 'gaze_y':2.218007, 'gaze_z':5.996046
'global_time':4.402272, 'center_x':-0.7999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.367658, 'gaze_y':2.192136, 'gaze_z':5.99621
'global_time':4.414994, 'center_x':-0.8999996, 'center_y':2, 'center_z':6, 'gaze_x':-1.43486, 'gaze_y':2.166663, 'gaze_z':5.996375
'global_time':4.427367, 'center_x':-0.9999996, 'center_y':2, 'center_z':6, 'gaze_x':-1.502138, 'gaze_y':2.141762, 'gaze_z':5.996533
'global_time':4.436892, 'center_x':-1.1, 'center_y':2, 'center_z':6, 'gaze_x':-1.569122, 'gaze_y':2.114538, 'gaze_z':5.996713
'global_time':4.447792, 'center_x':-1.1, 'center_y':2, 'center_z':6, 'gaze_x':-1.640622, 'gaze_y':2.087464, 'gaze_z':5.996889
'global_time':4.461394, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-1.715744, 'gaze_y':2.060271, 'gaze_z':5.997066
