'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':1.510002, 'head_position_x':-0.1292994, 'head_position_y':1.688941, 'head_position_z':-0.8866367
'global_time':1.526342, 'head_position_x':-0.1293829, 'head_position_y':1.688891, 'head_position_z':-0.8867599
'global_time':1.539337, 'head_position_x':-0.1294582, 'head_position_y':1.688943, 'head_position_z':-0.8867465
'global_time':1.550719, 'head_position_x':-0.129618, 'head_position_y':1.688842, 'head_position_z':-0.8869231
'global_time':1.561952, 'head_position_x':-0.1297062, 'head_position_y':1.68878, 'head_position_z':-0.8870366
'global_time':1.574139, 'head_position_x':-0.1297246, 'head_position_y':1.688779, 'head_position_z':-0.8871269
'global_time':1.587013, 'head_position_x':-0.1299019, 'head_position_y':1.688693, 'head_position_z':-0.8874074
'global_time':1.920347, 'head_position_x':-0.1299705, 'head_position_y':1.68868, 'head_position_z':-0.88757
'global_time':1.941793, 'head_position_x':-0.1263169, 'head_position_y':1.686984, 'head_position_z':-0.8954908
'global_time':1.954333, 'head_position_x':-0.125564, 'head_position_y':1.68701, 'head_position_z':-0.8956324
'global_time':1.966536, 'head_position_x':-0.1249907, 'head_position_y':1.687102, 'head_position_z':-0.8956616
'global_time':1.980169, 'head_position_x':-0.124606, 'head_position_y':1.68713, 'head_position_z':-0.895672
'global_time':1.992564, 'head_position_x':-0.1240951, 'head_position_y':1.687136, 'head_position_z':-0.8958046
'global_time':2.005147, 'head_position_x':-0.1236908, 'head_position_y':1.687191, 'head_position_z':-0.8956795
'global_time':2.019298, 'head_position_x':-0.1232768, 'head_position_y':1.687223, 'head_position_z':-0.8956277
'global_time':2.030054, 'head_position_x':-0.1228979, 'head_position_y':1.687253, 'head_position_z':-0.8955688
'global_time':2.042733, 'head_position_x':-0.1220888, 'head_position_y':1.687321, 'head_position_z':-0.8954725
'global_time':2.055784, 'head_position_x':-0.121674, 'head_position_y':1.687328, 'head_position_z':-0.8954123
'global_time':2.07036, 'head_position_x':-0.1213136, 'head_position_y':1.687276, 'head_position_z':-0.895433
'global_time':2.082104, 'head_position_x':-0.1209362, 'head_position_y':1.687305, 'head_position_z':-0.8954007
'global_time':2.094649, 'head_position_x':-0.1205651, 'head_position_y':1.687284, 'head_position_z':-0.8953107
'global_time':2.10579, 'head_position_x':-0.1202063, 'head_position_y':1.687393, 'head_position_z':-0.895285
'global_time':2.120719, 'head_position_x':-0.1195579, 'head_position_y':1.687607, 'head_position_z':-0.8951061
'global_time':2.134901, 'head_position_x':-0.1192781, 'head_position_y':1.68769, 'head_position_z':-0.8950071
'global_time':2.146112, 'head_position_x':-0.1189776, 'head_position_y':1.687826, 'head_position_z':-0.894974
'global_time':2.159316, 'head_position_x':-0.1186742, 'head_position_y':1.687886, 'head_position_z':-0.8949293
'global_time':2.173429, 'head_position_x':-0.1183995, 'head_position_y':1.687894, 'head_position_z':-0.8949215
'global_time':2.185183, 'head_position_x':-0.1180948, 'head_position_y':1.687936, 'head_position_z':-0.8948815
'global_time':2.195606, 'head_position_x':-0.1178583, 'head_position_y':1.68799, 'head_position_z':-0.8948274
'global_time':2.206482, 'head_position_x':-0.117542, 'head_position_y':1.68796, 'head_position_z':-0.8947769
'global_time':2.218498, 'head_position_x':-0.1172396, 'head_position_y':1.687988, 'head_position_z':-0.8947196
'global_time':2.234453, 'head_position_x':-0.1167094, 'head_position_y':1.687974, 'head_position_z':-0.8946007
'global_time':2.248136, 'head_position_x':-0.1163411, 'head_position_y':1.688024, 'head_position_z':-0.8944391
'global_time':2.257848, 'head_position_x':-0.116041, 'head_position_y':1.688009, 'head_position_z':-0.8943448
