'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.350645, 'head_vector_x':-0.5595333, 'head_vector_y':0.0646636, 'head_vector_z':0.8262815
'global_time':1.361843, 'head_vector_x':-0.559375, 'head_vector_y':0.06416706, 'head_vector_z':0.8264273
'global_time':1.373953, 'head_vector_x':-0.5593653, 'head_vector_y':0.06379691, 'head_vector_z':0.8264626
'global_time':1.383443, 'head_vector_x':-0.5589596, 'head_vector_y':0.06322955, 'head_vector_z':0.8267806
'global_time':1.396031, 'head_vector_x':-0.5585397, 'head_vector_y':0.06278374, 'head_vector_z':0.8270983
'global_time':1.407464, 'head_vector_x':-0.5580556, 'head_vector_y':0.0622794, 'head_vector_z':0.8274632
'global_time':1.417627, 'head_vector_x':-0.557705, 'head_vector_y':0.06198925, 'head_vector_z':0.8277212
'global_time':1.430738, 'head_vector_x':-0.5574135, 'head_vector_y':0.06177355, 'head_vector_z':0.8279337
'global_time':1.44156, 'head_vector_x':-0.5571644, 'head_vector_y':0.06131262, 'head_vector_z':0.8281357
'global_time':1.453813, 'head_vector_x':-0.5571446, 'head_vector_y':0.0609879, 'head_vector_z':0.8281729
'global_time':1.466268, 'head_vector_x':-0.5569792, 'head_vector_y':0.06065838, 'head_vector_z':0.8283084
'global_time':1.476039, 'head_vector_x':-0.5570655, 'head_vector_y':0.06040399, 'head_vector_z':0.8282689
'global_time':1.488578, 'head_vector_x':-0.557115, 'head_vector_y':0.05998198, 'head_vector_z':0.8282663
'global_time':1.499638, 'head_vector_x':-0.5572865, 'head_vector_y':0.05977286, 'head_vector_z':0.828166
'global_time':1.510002, 'head_vector_x':-0.557375, 'head_vector_y':0.05939521, 'head_vector_z':0.8281336
'global_time':1.526342, 'head_vector_x':-0.5574154, 'head_vector_y':0.05926291, 'head_vector_z':0.8281159
'global_time':1.539337, 'head_vector_x':-0.5574832, 'head_vector_y':0.05921371, 'head_vector_z':0.8280739
'global_time':1.550719, 'head_vector_x':-0.5575895, 'head_vector_y':0.05889157, 'head_vector_z':0.8280252
'global_time':1.561952, 'head_vector_x':-0.5576196, 'head_vector_y':0.05888655, 'head_vector_z':0.8280053
'global_time':1.574139, 'head_vector_x':-0.5577494, 'head_vector_y':0.05836862, 'head_vector_z':0.8279545
'global_time':1.587013, 'head_vector_x':-0.5581662, 'head_vector_y':0.05805077, 'head_vector_z':0.827696
'global_time':1.920347, 'head_vector_x':-0.5581288, 'head_vector_y':0.05786783, 'head_vector_z':0.827734
'global_time':1.941793, 'head_vector_x':-0.4193543, 'head_vector_y':0.05652507, 'head_vector_z':0.9060612
'global_time':1.954333, 'head_vector_x':-0.4139743, 'head_vector_y':0.05788564, 'head_vector_z':0.9084463
'global_time':1.966536, 'head_vector_x':-0.4109031, 'head_vector_y':0.05860851, 'head_vector_z':0.9097933
'global_time':1.980169, 'head_vector_x':-0.4078267, 'head_vector_y':0.0590266, 'head_vector_z':0.9111494
'global_time':1.992564, 'head_vector_x':-0.4046121, 'head_vector_y':0.05977413, 'head_vector_z':0.9125328
'global_time':2.005147, 'head_vector_x':-0.4013752, 'head_vector_y':0.0603369, 'head_vector_z':0.9139242
'global_time':2.019298, 'head_vector_x':-0.3980653, 'head_vector_y':0.0610629, 'head_vector_z':0.9153225
'global_time':2.030054, 'head_vector_x':-0.3946734, 'head_vector_y':0.06190471, 'head_vector_z':0.9167337
'global_time':2.042733, 'head_vector_x':-0.3881334, 'head_vector_y':0.06302769, 'head_vector_z':0.9194455
'global_time':2.055784, 'head_vector_x':-0.3851761, 'head_vector_y':0.06359119, 'head_vector_z':0.9206495
'global_time':2.07036, 'head_vector_x':-0.3822311, 'head_vector_y':0.06375091, 'head_vector_z':0.921865
'global_time':2.082104, 'head_vector_x':-0.379209, 'head_vector_y':0.06395434, 'head_vector_z':0.9230982
'global_time':2.094649, 'head_vector_x':-0.3767418, 'head_vector_y':0.06440805, 'head_vector_z':0.9240764
'global_time':2.10579, 'head_vector_x':-0.3744276, 'head_vector_y':0.06487629, 'head_vector_z':0.9249838
'global_time':2.120719, 'head_vector_x':-0.369779, 'head_vector_y':0.06612525, 'head_vector_z':0.9267637
'global_time':2.134901, 'head_vector_x':-0.3672392, 'head_vector_y':0.06700325, 'head_vector_z':0.9277101
'global_time':2.146112, 'head_vector_x':-0.3646264, 'head_vector_y':0.06763763, 'head_vector_z':0.9286941
'global_time':2.159316, 'head_vector_x':-0.3621664, 'head_vector_y':0.06792386, 'head_vector_z':0.9296353
'global_time':2.173429, 'head_vector_x':-0.3597546, 'head_vector_y':0.06817111, 'head_vector_z':0.9305533
'global_time':2.185183, 'head_vector_x':-0.3576108, 'head_vector_y':0.06815885, 'head_vector_z':0.9313801
'global_time':2.195606, 'head_vector_x':-0.3556485, 'head_vector_y':0.06806599, 'head_vector_z':0.932138
'global_time':2.206482, 'head_vector_x':-0.3535846, 'head_vector_y':0.06812561, 'head_vector_z':0.9329184
'global_time':2.218498, 'head_vector_x':-0.3517097, 'head_vector_y':0.06791823, 'head_vector_z':0.933642
'global_time':2.234453, 'head_vector_x':-0.3478211, 'head_vector_y':0.06803282, 'head_vector_z':0.9350893
'global_time':2.248136, 'head_vector_x':-0.3458071, 'head_vector_y':0.0678511, 'head_vector_z':0.9358492
'global_time':2.257848, 'head_vector_x':-0.3437632, 'head_vector_y':0.06788197, 'head_vector_z':0.9365996
'global_time':2.271586, 'head_vector_x':-0.3419531, 'head_vector_y':0.0678217, 'head_vector_z':0.9372664
'global_time':2.283572, 'head_vector_x':-0.3402082, 'head_vector_y':0.06774109, 'head_vector_z':0.937907
'global_time':2.295877, 'head_vector_x':-0.3384576, 'head_vector_y':0.06784687, 'head_vector_z':0.9385325
'global_time':2.305708, 'head_vector_x':-0.3367998, 'head_vector_y':0.06781853, 'head_vector_z':0.9391308
'global_time':2.318348, 'head_vector_x':-0.3351649, 'head_vector_y':0.06783986, 'head_vector_z':0.9397139
'global_time':2.330831, 'head_vector_x':-0.332517, 'head_vector_y':0.06791057, 'head_vector_z':0.940649
'global_time':2.343958, 'head_vector_x':-0.3315099, 'head_vector_y':0.06812903, 'head_vector_z':0.9409886
'global_time':2.356353, 'head_vector_x':-0.330257, 'head_vector_y':0.06764397, 'head_vector_z':0.9414641
'global_time':2.368295, 'head_vector_x':-0.3289163, 'head_vector_y':0.06713718, 'head_vector_z':0.9419696
'global_time':2.380098, 'head_vector_x':-0.3279486, 'head_vector_y':0.06677304, 'head_vector_z':0.9423328
'global_time':2.39415, 'head_vector_x':-0.3267376, 'head_vector_y':0.06598182, 'head_vector_z':0.942809
'global_time':2.40538, 'head_vector_x':-0.3256688, 'head_vector_y':0.06525934, 'head_vector_z':0.943229
'global_time':2.415976, 'head_vector_x':-0.3247842, 'head_vector_y':0.06436783, 'head_vector_z':0.9435953
'global_time':2.427851, 'head_vector_x':-0.3241433, 'head_vector_y':0.06395185, 'head_vector_z':0.9438439
'global_time':2.438533, 'head_vector_x':-0.3232502, 'head_vector_y':0.06331329, 'head_vector_z':0.9441932
'global_time':2.451827, 'head_vector_x':-0.3222976, 'head_vector_y':0.06311049, 'head_vector_z':0.9445323
'global_time':2.464211, 'head_vector_x':-0.3199897, 'head_vector_y':0.06212319, 'head_vector_z':0.9453821
'global_time':2.476213, 'head_vector_x':-0.3188724, 'head_vector_y':0.06146024, 'head_vector_z':0.9458029
'global_time':2.487586, 'head_vector_x':-0.3175958, 'head_vector_y':0.06069902, 'head_vector_z':0.9462814
'global_time':2.501213, 'head_vector_x':-0.3163368, 'head_vector_y':0.05941921, 'head_vector_z':0.9467843
'global_time':2.511611, 'head_vector_x':-0.3150929, 'head_vector_y':0.05855177, 'head_vector_z':0.947253
'global_time':2.52562, 'head_vector_x':-0.3138078, 'head_vector_y':0.05736186, 'head_vector_z':0.9477522
'global_time':2.536853, 'head_vector_x':-0.3124184, 'head_vector_y':0.05656176, 'head_vector_z':0.9482592
'global_time':2.548801, 'head_vector_x':-0.3107855, 'head_vector_y':0.05593894, 'head_vector_z':0.9488326
'global_time':2.560742, 'head_vector_x':-0.3091166, 'head_vector_y':0.05529213, 'head_vector_z':0.9494154
'global_time':2.572398, 'head_vector_x':-0.3074174, 'head_vector_y':0.05486555, 'head_vector_z':0.9499918
'global_time':2.58531, 'head_vector_x':-0.3036751, 'head_vector_y':0.05413404, 'head_vector_z':0.9512365
'global_time':2.599179, 'head_vector_x':-0.3016089, 'head_vector_y':0.05371189, 'head_vector_z':0.9519176
'global_time':2.611231, 'head_vector_x':-0.2994918, 'head_vector_y':0.05347234, 'head_vector_z':0.9525993
