'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':3.584901, 'head_vector_x':-0.7726135, 'head_vector_y':0.3338827, 'head_vector_z':0.5399914
'global_time':3.595911, 'head_vector_x':-0.7761847, 'head_vector_y':0.3403271, 'head_vector_z':0.530768
'global_time':3.606363, 'head_vector_x':-0.7794926, 'head_vector_y':0.3473625, 'head_vector_z':0.5212778
'global_time':3.617475, 'head_vector_x':-0.782268, 'head_vector_y':0.3552844, 'head_vector_z':0.511693
'global_time':3.628708, 'head_vector_x':-0.7845978, 'head_vector_y':0.364177, 'head_vector_z':0.5017782
'global_time':3.64067, 'head_vector_x':-0.786275, 'head_vector_y':0.3739004, 'head_vector_z':0.4919046
'global_time':3.652015, 'head_vector_x':-0.787819, 'head_vector_y':0.3829375, 'head_vector_z':0.48239
'global_time':3.662587, 'head_vector_x':-0.7897103, 'head_vector_y':0.3905916, 'head_vector_z':0.4730707
'global_time':3.674257, 'head_vector_x':-0.7916168, 'head_vector_y':0.397256, 'head_vector_z':0.4642528
'global_time':3.685567, 'head_vector_x':-0.7938471, 'head_vector_y':0.4016816, 'head_vector_z':0.4565727
'global_time':3.696108, 'head_vector_x':-0.7958484, 'head_vector_y':0.4047984, 'head_vector_z':0.4502929
'global_time':3.706108, 'head_vector_x':-0.7973901, 'head_vector_y':0.4083439, 'head_vector_z':0.4443245
'global_time':3.717383, 'head_vector_x':-0.798743, 'head_vector_y':0.4110481, 'head_vector_z':0.4393736
'global_time':3.728742, 'head_vector_x':-0.7996708, 'head_vector_y':0.4132803, 'head_vector_z':0.4355755
'global_time':3.739656, 'head_vector_x':-0.8002384, 'head_vector_y':0.4147335, 'head_vector_z':0.4331452
'global_time':3.750806, 'head_vector_x':-0.8001885, 'head_vector_y':0.4155484, 'head_vector_z':0.4324557
'global_time':3.7619, 'head_vector_x':-0.7997326, 'head_vector_y':0.4160442, 'head_vector_z':0.4328221
'global_time':3.772848, 'head_vector_x':-0.798661, 'head_vector_y':0.4153081, 'head_vector_z':0.4354995
'global_time':3.784156, 'head_vector_x':-0.7966856, 'head_vector_y':0.4140526, 'head_vector_z':0.4402871
'global_time':3.795438, 'head_vector_x':-0.7935683, 'head_vector_y':0.4117256, 'head_vector_z':0.4480305
'global_time':3.806145, 'head_vector_x':-0.789507, 'head_vector_y':0.4091424, 'head_vector_z':0.4574726
'global_time':3.818402, 'head_vector_x':-0.7842583, 'head_vector_y':0.4063832, 'head_vector_z':0.4688195
'global_time':3.829749, 'head_vector_x':-0.7783052, 'head_vector_y':0.4035577, 'head_vector_z':0.481022
'global_time':3.841745, 'head_vector_x':-0.770264, 'head_vector_y':0.4003877, 'head_vector_z':0.4963698
'global_time':3.851052, 'head_vector_x':-0.7617046, 'head_vector_y':0.3977312, 'head_vector_z':0.5114841
'global_time':3.865073, 'head_vector_x':-0.7523661, 'head_vector_y':0.3949597, 'head_vector_z':0.5272116
'global_time':3.875297, 'head_vector_x':-0.7417141, 'head_vector_y':0.3920366, 'head_vector_z':0.5442127
'global_time':3.88658, 'head_vector_x':-0.729739, 'head_vector_y':0.3892456, 'head_vector_z':0.5621111
'global_time':3.898294, 'head_vector_x':-0.7165981, 'head_vector_y':0.3863149, 'head_vector_z':0.5807306
'global_time':3.911649, 'head_vector_x':-0.7016892, 'head_vector_y':0.3841294, 'head_vector_z':0.6000641
'global_time':3.922129, 'head_vector_x':-0.6860152, 'head_vector_y':0.3819579, 'head_vector_z':0.6192667
'global_time':3.93457, 'head_vector_x':-0.6691359, 'head_vector_y':0.3797858, 'head_vector_z':0.6387644
'global_time':3.945885, 'head_vector_x':-0.6506575, 'head_vector_y':0.3761782, 'head_vector_z':0.6596475
'global_time':3.955555, 'head_vector_x':-0.6311294, 'head_vector_y':0.3721451, 'head_vector_z':0.6805761
'global_time':3.965253, 'head_vector_x':-0.6108811, 'head_vector_y':0.3678186, 'head_vector_z':0.7010947
'global_time':3.97598, 'head_vector_x':-0.5903354, 'head_vector_y':0.3635962, 'head_vector_z':0.7206261
'global_time':3.987573, 'head_vector_x':-0.5690786, 'head_vector_y':0.3603278, 'head_vector_z':0.7391301
'global_time':4.000245, 'head_vector_x':-0.548077, 'head_vector_y':0.3571814, 'head_vector_z':0.7563286
'global_time':4.011761, 'head_vector_x':-0.5265945, 'head_vector_y':0.354863, 'head_vector_z':0.7725092
'global_time':4.021903, 'head_vector_x':-0.5054111, 'head_vector_y':0.3524047, 'head_vector_z':0.787636
'global_time':4.03089, 'head_vector_x':-0.4843074, 'head_vector_y':0.3499972, 'head_vector_z':0.8018405
'global_time':4.042466, 'head_vector_x':-0.4628923, 'head_vector_y':0.3475743, 'head_vector_z':0.815428
'global_time':4.05426, 'head_vector_x':-0.4415063, 'head_vector_y':0.3455877, 'head_vector_z':0.8280346
'global_time':4.066857, 'head_vector_x':-0.4195922, 'head_vector_y':0.3436145, 'head_vector_z':0.8401616
'global_time':4.080163, 'head_vector_x':-0.3975983, 'head_vector_y':0.342539, 'head_vector_z':0.8512242
'global_time':4.092138, 'head_vector_x':-0.3760048, 'head_vector_y':0.3413107, 'head_vector_z':0.8614682
'global_time':4.103994, 'head_vector_x':-0.3542919, 'head_vector_y':0.3401887, 'head_vector_z':0.8710619
'global_time':4.114306, 'head_vector_x':-0.3337065, 'head_vector_y':0.338518, 'head_vector_z':0.8797986
'global_time':4.125255, 'head_vector_x':-0.3137127, 'head_vector_y':0.3368651, 'head_vector_z':0.8877534
'global_time':4.135633, 'head_vector_x':-0.2941155, 'head_vector_y':0.334966, 'head_vector_z':0.8951502
'global_time':4.146657, 'head_vector_x':-0.2757264, 'head_vector_y':0.3334208, 'head_vector_z':0.9015573
'global_time':4.156267, 'head_vector_x':-0.2580225, 'head_vector_y':0.332429, 'head_vector_z':0.9071468
'global_time':4.16724, 'head_vector_x':-0.2407402, 'head_vector_y':0.3317406, 'head_vector_z':0.9121361
'global_time':4.17779, 'head_vector_x':-0.2241351, 'head_vector_y':0.3311596, 'head_vector_z':0.9165679
'global_time':4.187343, 'head_vector_x':-0.208576, 'head_vector_y':0.3305311, 'head_vector_z':0.9204593
'global_time':4.196597, 'head_vector_x':-0.1934917, 'head_vector_y':0.3300656, 'head_vector_z':0.9239143
'global_time':4.209021, 'head_vector_x':-0.1795761, 'head_vector_y':0.3292196, 'head_vector_z':0.9270204
'global_time':4.220498, 'head_vector_x':-0.1665562, 'head_vector_y':0.3284037, 'head_vector_z':0.9297366
'global_time':4.232338, 'head_vector_x':-0.1542214, 'head_vector_y':0.3270866, 'head_vector_z':0.9323251
'global_time':4.243759, 'head_vector_x':-0.1427069, 'head_vector_y':0.3260908, 'head_vector_z':0.934505
'global_time':4.255387, 'head_vector_x':-0.1320387, 'head_vector_y':0.3252074, 'head_vector_z':0.9363791
'global_time':4.264163, 'head_vector_x':-0.1230147, 'head_vector_y':0.3243225, 'head_vector_z':0.9379138
'global_time':4.276321, 'head_vector_x':-0.1138708, 'head_vector_y':0.3234889, 'head_vector_z':0.9393553
'global_time':4.287094, 'head_vector_x':-0.1063991, 'head_vector_y':0.3226143, 'head_vector_z':0.9405314
'global_time':4.297205, 'head_vector_x':-0.09936718, 'head_vector_y':0.3213231, 'head_vector_z':0.9417418
'global_time':4.308102, 'head_vector_x':-0.09302738, 'head_vector_y':0.3197957, 'head_vector_z':0.9429086
'global_time':4.318896, 'head_vector_x':-0.08711407, 'head_vector_y':0.3176667, 'head_vector_z':0.9441922
'global_time':4.329331, 'head_vector_x':-0.08219793, 'head_vector_y':0.315304, 'head_vector_z':0.9454242
'global_time':4.33956, 'head_vector_x':-0.07742567, 'head_vector_y':0.312694, 'head_vector_z':0.9466931
'global_time':4.350525, 'head_vector_x':-0.07306828, 'head_vector_y':0.3100072, 'head_vector_z':0.9479222
'global_time':4.361465, 'head_vector_x':-0.06992794, 'head_vector_y':0.3069911, 'head_vector_z':0.94914
'global_time':4.372763, 'head_vector_x':-0.06781878, 'head_vector_y':0.303613, 'head_vector_z':0.9503787
'global_time':4.383963, 'head_vector_x':-0.06640622, 'head_vector_y':0.3007165, 'head_vector_z':0.9513989
'global_time':4.395179, 'head_vector_x':-0.06586613, 'head_vector_y':0.2977119, 'head_vector_z':0.9523808
'global_time':4.406405, 'head_vector_x':-0.06603002, 'head_vector_y':0.2949658, 'head_vector_z':0.9532236
'global_time':4.418582, 'head_vector_x':-0.06604581, 'head_vector_y':0.2926309, 'head_vector_z':0.9539419
'global_time':4.428224, 'head_vector_x':-0.06631685, 'head_vector_y':0.2906534, 'head_vector_z':0.9545274
'global_time':4.439354, 'head_vector_x':-0.066665, 'head_vector_y':0.2885379, 'head_vector_z':0.9551448
'global_time':4.451496, 'head_vector_x':-0.06752095, 'head_vector_y':0.2865713, 'head_vector_z':0.9556767
'global_time':4.462081, 'head_vector_x':-0.06867151, 'head_vector_y':0.2837394, 'head_vector_z':0.9564393
'global_time':4.472678, 'head_vector_x':-0.06994589, 'head_vector_y':0.2808145, 'head_vector_z':0.9572099
'global_time':4.484121, 'head_vector_x':-0.07182977, 'head_vector_y':0.2775683, 'head_vector_z':0.9580169
'global_time':4.495891, 'head_vector_x':-0.07315024, 'head_vector_y':0.2746094, 'head_vector_z':0.9587694
'global_time':4.506898, 'head_vector_x':-0.07464922, 'head_vector_y':0.2717834, 'head_vector_z':0.9594588
'global_time':4.518505, 'head_vector_x':-0.07606585, 'head_vector_y':0.2689573, 'head_vector_z':0.9601437
'global_time':4.528647, 'head_vector_x':-0.0777569, 'head_vector_y':0.2656506, 'head_vector_z':0.9609285
'global_time':4.540131, 'head_vector_x':-0.07917742, 'head_vector_y':0.2625257, 'head_vector_z':0.9616711
'global_time':4.551437, 'head_vector_x':-0.08044857, 'head_vector_y':0.2594589, 'head_vector_z':0.9623976
'global_time':4.562956, 'head_vector_x':-0.08169477, 'head_vector_y':0.2567744, 'head_vector_z':0.9630124
'global_time':4.57409, 'head_vector_x':-0.08294085, 'head_vector_y':0.2544664, 'head_vector_z':0.9635184
'global_time':4.585492, 'head_vector_x':-0.08406422, 'head_vector_y':0.2528936, 'head_vector_z':0.9638351
'global_time':4.599293, 'head_vector_x':-0.08558114, 'head_vector_y':0.2518086, 'head_vector_z':0.9639856
'global_time':4.612278, 'head_vector_x':-0.08741315, 'head_vector_y':0.251658, 'head_vector_z':0.9638606
'global_time':4.622632, 'head_vector_x':-0.08941184, 'head_vector_y':0.25142, 'head_vector_z':0.9637393
'global_time':4.63103, 'head_vector_x':-0.09141377, 'head_vector_y':0.251094, 'head_vector_z':0.9636365
'global_time':4.643072, 'head_vector_x':-0.09367576, 'head_vector_y':0.2515318, 'head_vector_z':0.9633051
'global_time':4.654375, 'head_vector_x':-0.0956606, 'head_vector_y':0.2525352, 'head_vector_z':0.9628474
'global_time':4.666844, 'head_vector_x':-0.09748605, 'head_vector_y':0.2539357, 'head_vector_z':0.9622958
'global_time':4.678445, 'head_vector_x':-0.09930629, 'head_vector_y':0.2567184, 'head_vector_z':0.9613709
'global_time':4.690327, 'head_vector_x':-0.1011648, 'head_vector_y':0.2591988, 'head_vector_z':0.9605111
'global_time':4.701478, 'head_vector_x':-0.1035843, 'head_vector_y':0.2617773, 'head_vector_z':0.9595535
'global_time':4.712567, 'head_vector_x':-0.1057862, 'head_vector_y':0.2644435, 'head_vector_z':0.9585817
'global_time':4.724056, 'head_vector_x':-0.1085971, 'head_vector_y':0.267192, 'head_vector_z':0.9575046
'global_time':4.735002, 'head_vector_x':-0.1118455, 'head_vector_y':0.2701961, 'head_vector_z':0.9562869
'global_time':4.747365, 'head_vector_x':-0.1156879, 'head_vector_y':0.2734359, 'head_vector_z':0.9549079
'global_time':4.759087, 'head_vector_x':-0.1193094, 'head_vector_y':0.2769404, 'head_vector_z':0.9534513
'global_time':4.770209, 'head_vector_x':-0.1231106, 'head_vector_y':0.2804621, 'head_vector_z':0.9519374
'global_time':4.780272, 'head_vector_x':-0.1272239, 'head_vector_y':0.2839237, 'head_vector_z':0.9503691
'global_time':4.791582, 'head_vector_x':-0.1312799, 'head_vector_y':0.2873374, 'head_vector_z':0.9487902
'global_time':4.803101, 'head_vector_x':-0.1358483, 'head_vector_y':0.2906352, 'head_vector_z':0.9471412
'global_time':4.812658, 'head_vector_x':-0.1405465, 'head_vector_y':0.2935934, 'head_vector_z':0.945542
'global_time':4.822076, 'head_vector_x':-0.1456759, 'head_vector_y':0.2965177, 'head_vector_z':0.9438516
'global_time':4.83347, 'head_vector_x':-0.151408, 'head_vector_y':0.2992322, 'head_vector_z':0.9420912
'global_time':4.844583, 'head_vector_x':-0.1569758, 'head_vector_y':0.3018022, 'head_vector_z':0.9403585
'global_time':4.854741, 'head_vector_x':-0.1637137, 'head_vector_y':0.3045485, 'head_vector_z':0.9383219
'global_time':4.8641, 'head_vector_x':-0.1707034, 'head_vector_y':0.3068165, 'head_vector_z':0.9363354
'global_time':4.876065, 'head_vector_x':-0.1779413, 'head_vector_y':0.3087426, 'head_vector_z':0.9343527
'global_time':4.886209, 'head_vector_x':-0.185517, 'head_vector_y':0.3101831, 'head_vector_z':0.9324
'global_time':4.896948, 'head_vector_x':-0.1928298, 'head_vector_y':0.3113866, 'head_vector_z':0.9305133
'global_time':4.90872, 'head_vector_x':-0.2002125, 'head_vector_y':0.3123462, 'head_vector_z':0.9286306
'global_time':4.918938, 'head_vector_x':-0.2076797, 'head_vector_y':0.3130829, 'head_vector_z':0.9267406
'global_time':4.929399, 'head_vector_x':-0.2147261, 'head_vector_y':0.3131261, 'head_vector_z':0.9251188
'global_time':4.941248, 'head_vector_x':-0.2218426, 'head_vector_y':0.3132582, 'head_vector_z':0.9233933
'global_time':4.952928, 'head_vector_x':-0.2288523, 'head_vector_y':0.3129934, 'head_vector_z':0.921771
'global_time':4.963332, 'head_vector_x':-0.2360446, 'head_vector_y':0.3128762, 'head_vector_z':0.9199954
'global_time':4.97237, 'head_vector_x':-0.2431278, 'head_vector_y':0.3122599, 'head_vector_z':0.9183587
'global_time':4.983507, 'head_vector_x':-0.2507026, 'head_vector_y':0.3117429, 'head_vector_z':0.9164958
'global_time':4.995222, 'head_vector_x':-0.2582589, 'head_vector_y':0.3106393, 'head_vector_z':0.9147708
'global_time':5.005604, 'head_vector_x':-0.2663431, 'head_vector_y':0.3091495, 'head_vector_z':0.9129556
'global_time':5.016837, 'head_vector_x':-0.2742456, 'head_vector_y':0.307321, 'head_vector_z':0.9112316
'global_time':5.027754, 'head_vector_x':-0.2821917, 'head_vector_y':0.3051335, 'head_vector_z':0.9095391
'global_time':5.03912, 'head_vector_x':-0.2896995, 'head_vector_y':0.3033368, 'head_vector_z':0.9077781
'global_time':5.050186, 'head_vector_x':-0.2968608, 'head_vector_y':0.3019112, 'head_vector_z':0.9059378
'global_time':5.06175, 'head_vector_x':-0.3031364, 'head_vector_y':0.3006781, 'head_vector_z':0.9042682
'global_time':5.072502, 'head_vector_x':-0.3082292, 'head_vector_y':0.2995525, 'head_vector_z':0.9029192
'global_time':5.083432, 'head_vector_x':-0.3123178, 'head_vector_y':0.2982594, 'head_vector_z':0.9019418
'global_time':5.094674, 'head_vector_x':-0.3146976, 'head_vector_y':0.2969587, 'head_vector_z':0.9015437
'global_time':5.108423, 'head_vector_x':-0.3150232, 'head_vector_y':0.2956058, 'head_vector_z':0.9018745
'global_time':5.119909, 'head_vector_x':-0.3143926, 'head_vector_y':0.2939652, 'head_vector_z':0.9026304
'global_time':5.128867, 'head_vector_x':-0.3104178, 'head_vector_y':0.2923796, 'head_vector_z':0.9045192
'global_time':5.138921, 'head_vector_x':-0.3047448, 'head_vector_y':0.2909383, 'head_vector_z':0.9069099
'global_time':5.150394, 'head_vector_x':-0.2983351, 'head_vector_y':0.2894538, 'head_vector_z':0.9095123
'global_time':5.161166, 'head_vector_x':-0.2914466, 'head_vector_y':0.2878929, 'head_vector_z':0.9122371
'global_time':5.172861, 'head_vector_x':-0.2837908, 'head_vector_y':0.2864015, 'head_vector_z':0.9151158
'global_time':5.184043, 'head_vector_x':-0.2763247, 'head_vector_y':0.2847406, 'head_vector_z':0.9179147
'global_time':5.195176, 'head_vector_x':-0.2685765, 'head_vector_y':0.2832382, 'head_vector_z':0.9206752
'global_time':5.206744, 'head_vector_x':-0.2613439, 'head_vector_y':0.2813357, 'head_vector_z':0.9233361
'global_time':5.218636, 'head_vector_x':-0.2535478, 'head_vector_y':0.2789812, 'head_vector_z':0.9262198
'global_time':5.229483, 'head_vector_x':-0.2463666, 'head_vector_y':0.2769367, 'head_vector_z':0.9287678
'global_time':5.240618, 'head_vector_x':-0.2394782, 'head_vector_y':0.2744159, 'head_vector_z':0.9313142
'global_time':5.253375, 'head_vector_x':-0.2329326, 'head_vector_y':0.2718994, 'head_vector_z':0.9337093
'global_time':5.263819, 'head_vector_x':-0.2267387, 'head_vector_y':0.2692564, 'head_vector_z':0.9359971
'global_time':5.275209, 'head_vector_x':-0.2210298, 'head_vector_y':0.2664341, 'head_vector_z':0.9381677
'global_time':5.286231, 'head_vector_x':-0.2157998, 'head_vector_y':0.2635078, 'head_vector_z':0.9402096
'global_time':5.297826, 'head_vector_x':-0.2110823, 'head_vector_y':0.2606475, 'head_vector_z':0.942076
'global_time':5.308922, 'head_vector_x':-0.2069855, 'head_vector_y':0.2577717, 'head_vector_z':0.9437748
'global_time':5.320333, 'head_vector_x':-0.2037659, 'head_vector_y':0.2547388, 'head_vector_z':0.9452976
'global_time':5.331935, 'head_vector_x':-0.2012578, 'head_vector_y':0.2516796, 'head_vector_z':0.9466534
'global_time':5.343107, 'head_vector_x':-0.1996945, 'head_vector_y':0.2485763, 'head_vector_z':0.9478037
'global_time':5.354918, 'head_vector_x':-0.1983885, 'head_vector_y':0.2457142, 'head_vector_z':0.9488238
'global_time':5.365119, 'head_vector_x':-0.1982657, 'head_vector_y':0.2429425, 'head_vector_z':0.9495628
'global_time':5.376354, 'head_vector_x':-0.1981703, 'head_vector_y':0.2406637, 'head_vector_z':0.9501629
'global_time':5.387465, 'head_vector_x':-0.1986976, 'head_vector_y':0.2389556, 'head_vector_z':0.9504838
'global_time':5.39946, 'head_vector_x':-0.1995185, 'head_vector_y':0.2373411, 'head_vector_z':0.9507164
'global_time':5.4115, 'head_vector_x':-0.2006451, 'head_vector_y':0.2361445, 'head_vector_z':0.9507772
'global_time':5.425102, 'head_vector_x':-0.2015975, 'head_vector_y':0.234937, 'head_vector_z':0.9508749
'global_time':5.435477, 'head_vector_x':-0.2032685, 'head_vector_y':0.2337621, 'head_vector_z':0.9508087
'global_time':5.446076, 'head_vector_x':-0.204845, 'head_vector_y':0.2328943, 'head_vector_z':0.9506833
'global_time':5.457756, 'head_vector_x':-0.2064454, 'head_vector_y':0.2320532, 'head_vector_z':0.9505428
'global_time':5.467888, 'head_vector_x':-0.207846, 'head_vector_y':0.2313559, 'head_vector_z':0.9504075
'global_time':5.478572, 'head_vector_x':-0.209073, 'head_vector_y':0.2306255, 'head_vector_z':0.950316
'global_time':5.488027, 'head_vector_x':-0.2099425, 'head_vector_y':0.2300654, 'head_vector_z':0.95026
'global_time':5.499787, 'head_vector_x':-0.2105845, 'head_vector_y':0.229606, 'head_vector_z':0.950229
'global_time':5.511795, 'head_vector_x':-0.2107302, 'head_vector_y':0.2293495, 'head_vector_z':0.9502587
'global_time':5.522444, 'head_vector_x':-0.2105024, 'head_vector_y':0.2289445, 'head_vector_z':0.9504068
'global_time':5.535859, 'head_vector_x':-0.2098264, 'head_vector_y':0.2288222, 'head_vector_z':0.9505857
'global_time':5.547061, 'head_vector_x':-0.2084267, 'head_vector_y':0.2289232, 'head_vector_z':0.9508693
'global_time':5.557267, 'head_vector_x':-0.2064683, 'head_vector_y':0.2290713, 'head_vector_z':0.9512608
'global_time':5.568822, 'head_vector_x':-0.204351, 'head_vector_y':0.2291088, 'head_vector_z':0.9517089
'global_time':5.579895, 'head_vector_x':-0.2014165, 'head_vector_y':0.2294189, 'head_vector_z':0.9522596
'global_time':5.5888, 'head_vector_x':-0.1984278, 'head_vector_y':0.2298013, 'head_vector_z':0.9527947
'global_time':5.597242, 'head_vector_x':-0.1944892, 'head_vector_y':0.2303546, 'head_vector_z':0.953473
'global_time':5.608273, 'head_vector_x':-0.1905824, 'head_vector_y':0.2310304, 'head_vector_z':0.9540982
'global_time':5.620006, 'head_vector_x':-0.18588, 'head_vector_y':0.2317056, 'head_vector_z':0.9548619
'global_time':5.629303, 'head_vector_x':-0.1809005, 'head_vector_y':0.2322524, 'head_vector_z':0.955685
'global_time':5.640067, 'head_vector_x':-0.1758204, 'head_vector_y':0.2327996, 'head_vector_z':0.9564996
'global_time':5.651614, 'head_vector_x':-0.1703615, 'head_vector_y':0.2333981, 'head_vector_z':0.9573413
'global_time':5.662109, 'head_vector_x':-0.1641973, 'head_vector_y':0.2342767, 'head_vector_z':0.9582034
'global_time':5.673207, 'head_vector_x':-0.15757, 'head_vector_y':0.2351757, 'head_vector_z':0.9590955
'global_time':5.690623, 'head_vector_x':-0.1505446, 'head_vector_y':0.2361863, 'head_vector_z':0.9599752
'global_time':5.705746, 'head_vector_x':-0.1431811, 'head_vector_y':0.2372591, 'head_vector_z':0.9608368
'global_time':5.716071, 'head_vector_x':-0.135557, 'head_vector_y':0.2380161, 'head_vector_z':0.961755
'global_time':5.727684, 'head_vector_x':-0.1203495, 'head_vector_y':0.238976, 'head_vector_z':0.9635385
'global_time':5.73879, 'head_vector_x':-0.1122914, 'head_vector_y':0.2392222, 'head_vector_z':0.9644498
'global_time':5.749928, 'head_vector_x':-0.104968, 'head_vector_y':0.2392159, 'head_vector_z':0.9652759
'global_time':5.762007, 'head_vector_x':-0.09787363, 'head_vector_y':0.2388662, 'head_vector_z':0.9661075
'global_time':5.772366, 'head_vector_x':-0.09119612, 'head_vector_y':0.2383673, 'head_vector_z':0.9668838
'global_time':5.783795, 'head_vector_x':-0.08539807, 'head_vector_y':0.237791, 'head_vector_z':0.967555
'global_time':5.795768, 'head_vector_x':-0.0797784, 'head_vector_y':0.2373292, 'head_vector_z':0.9681479
'global_time':5.807755, 'head_vector_x':-0.07509416, 'head_vector_y':0.2368073, 'head_vector_z':0.9686502
'global_time':5.817071, 'head_vector_x':-0.07109883, 'head_vector_y':0.2361234, 'head_vector_z':0.9691185
'global_time':5.828398, 'head_vector_x':-0.06835221, 'head_vector_y':0.2351233, 'head_vector_z':0.9695592
'global_time':5.839861, 'head_vector_x':-0.06626659, 'head_vector_y':0.2341004, 'head_vector_z':0.9699514
'global_time':5.851119, 'head_vector_x':-0.06628114, 'head_vector_y':0.2327925, 'head_vector_z':0.9702652
'global_time':5.861394, 'head_vector_x':-0.06659793, 'head_vector_y':0.231566, 'head_vector_z':0.9705369
'global_time':5.8728, 'head_vector_x':-0.06916656, 'head_vector_y':0.2301828, 'head_vector_z':0.9706863
'global_time':5.884133, 'head_vector_x':-0.07237016, 'head_vector_y':0.2291284, 'head_vector_z':0.9707022
'global_time':5.895433, 'head_vector_x':-0.07833414, 'head_vector_y':0.2281333, 'head_vector_z':0.9704736
'global_time':5.907365, 'head_vector_x':-0.08404738, 'head_vector_y':0.2271344, 'head_vector_z':0.9702299
'global_time':5.923086, 'head_vector_x':-0.09133962, 'head_vector_y':0.2263752, 'head_vector_z':0.9697481
'global_time':5.93325, 'head_vector_x':-0.09883699, 'head_vector_y':0.2255756, 'head_vector_z':0.9691991
'global_time':5.945625, 'head_vector_x':-0.1067463, 'head_vector_y':0.2251409, 'head_vector_z':0.968461
'global_time':5.958147, 'head_vector_x':-0.1152551, 'head_vector_y':0.2245488, 'head_vector_z':0.9676229
'global_time':5.971007, 'head_vector_x':-0.1240206, 'head_vector_y':0.2240787, 'head_vector_z':0.9666476
'global_time':5.982359, 'head_vector_x':-0.1331371, 'head_vector_y':0.2234326, 'head_vector_z':0.965584
'global_time':5.992372, 'head_vector_x':-0.1423933, 'head_vector_y':0.2228741, 'head_vector_z':0.9643916
'global_time':6.004485, 'head_vector_x':-0.1517503, 'head_vector_y':0.2225485, 'head_vector_z':0.9630389
'global_time':6.013968, 'head_vector_x':-0.1608407, 'head_vector_y':0.2220982, 'head_vector_z':0.9616666
'global_time':6.025696, 'head_vector_x':-0.170136, 'head_vector_y':0.2217071, 'head_vector_z':0.9601561
'global_time':6.036219, 'head_vector_x':-0.1790972, 'head_vector_y':0.2212754, 'head_vector_z':0.9586247
'global_time':6.046176, 'head_vector_x':-0.1879712, 'head_vector_y':0.2207584, 'head_vector_z':0.9570436
'global_time':6.055776, 'head_vector_x':-0.1968295, 'head_vector_y':0.2202209, 'head_vector_z':0.9553852
'global_time':6.066026, 'head_vector_x':-0.2052367, 'head_vector_y':0.2196441, 'head_vector_z':0.9537476
'global_time':6.076391, 'head_vector_x':-0.2137256, 'head_vector_y':0.2188486, 'head_vector_z':0.9520644
'global_time':6.087321, 'head_vector_x':-0.2220258, 'head_vector_y':0.2181371, 'head_vector_z':0.9503267
'global_time':6.100242, 'head_vector_x':-0.2303723, 'head_vector_y':0.2174697, 'head_vector_z':0.9484912
'global_time':6.112928, 'head_vector_x':-0.2384492, 'head_vector_y':0.2166825, 'head_vector_z':0.9466735
'global_time':6.124057, 'head_vector_x':-0.2464466, 'head_vector_y':0.2160873, 'head_vector_z':0.9447594
'global_time':6.135449, 'head_vector_x':-0.2539581, 'head_vector_y':0.2159587, 'head_vector_z':0.9427975
'global_time':6.145994, 'head_vector_x':-0.2615973, 'head_vector_y':0.2154039, 'head_vector_z':0.9408337
'global_time':6.155723, 'head_vector_x':-0.2689832, 'head_vector_y':0.2150182, 'head_vector_z':0.9388372
'global_time':6.166069, 'head_vector_x':-0.2762263, 'head_vector_y':0.214821, 'head_vector_z':0.9367769
'global_time':6.180179, 'head_vector_x':-0.2834707, 'head_vector_y':0.2146636, 'head_vector_z':0.9346464
'global_time':6.19257, 'head_vector_x':-0.2908162, 'head_vector_y':0.2145006, 'head_vector_z':0.9324245
'global_time':6.204708, 'head_vector_x':-0.2984546, 'head_vector_y':0.2145215, 'head_vector_z':0.9300029
'global_time':6.215229, 'head_vector_x':-0.3062552, 'head_vector_y':0.2146947, 'head_vector_z':0.9274232
'global_time':6.224664, 'head_vector_x':-0.3141921, 'head_vector_y':0.2150643, 'head_vector_z':0.9246787
'global_time':6.234406, 'head_vector_x':-0.3223201, 'head_vector_y':0.2153497, 'head_vector_z':0.9218103
'global_time':6.245941, 'head_vector_x':-0.3306519, 'head_vector_y':0.2158597, 'head_vector_z':0.918735
'global_time':6.257587, 'head_vector_x':-0.3390643, 'head_vector_y':0.2165487, 'head_vector_z':0.915501
'global_time':6.268152, 'head_vector_x':-0.3475159, 'head_vector_y':0.2173948, 'head_vector_z':0.9121251
'global_time':6.277226, 'head_vector_x':-0.3560997, 'head_vector_y':0.218819, 'head_vector_z':0.9084664
'global_time':6.287602, 'head_vector_x':-0.3649949, 'head_vector_y':0.2205763, 'head_vector_z':0.9045026
'global_time':6.297406, 'head_vector_x':-0.3740561, 'head_vector_y':0.2224658, 'head_vector_z':0.9003283
'global_time':6.308793, 'head_vector_x':-0.3831777, 'head_vector_y':0.2247806, 'head_vector_z':0.8959066
'global_time':6.319024, 'head_vector_x':-0.392689, 'head_vector_y':0.2274056, 'head_vector_z':0.8911128
'global_time':6.329907, 'head_vector_x':-0.4022838, 'head_vector_y':0.2301764, 'head_vector_z':0.8861076
'global_time':6.340178, 'head_vector_x':-0.4119381, 'head_vector_y':0.232601, 'head_vector_z':0.8810243
'global_time':6.350943, 'head_vector_x':-0.421502, 'head_vector_y':0.2353247, 'head_vector_z':0.8757616
'global_time':6.360725, 'head_vector_x':-0.4311366, 'head_vector_y':0.237954, 'head_vector_z':0.8703443
