'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.418935, 'head_position_x':0.3644919, 'head_position_y':1.654587, 'head_position_z':-0.3627395
'global_time':1.429688, 'head_position_x':0.3643212, 'head_position_y':1.65452, 'head_position_z':-0.3623736
'global_time':1.440494, 'head_position_x':0.3640245, 'head_position_y':1.654448, 'head_position_z':-0.3620158
'global_time':1.450701, 'head_position_x':0.3638014, 'head_position_y':1.654439, 'head_position_z':-0.3615963
'global_time':1.461924, 'head_position_x':0.3635864, 'head_position_y':1.65443, 'head_position_z':-0.3612162
'global_time':1.471809, 'head_position_x':0.3632653, 'head_position_y':1.654371, 'head_position_z':-0.3605944
'global_time':1.482932, 'head_position_x':0.363009, 'head_position_y':1.654329, 'head_position_z':-0.3601996
'global_time':1.494242, 'head_position_x':0.3627156, 'head_position_y':1.654298, 'head_position_z':-0.3596483
'global_time':1.506235, 'head_position_x':0.3624806, 'head_position_y':1.654222, 'head_position_z':-0.3593256
'global_time':1.516837, 'head_position_x':0.3622351, 'head_position_y':1.65418, 'head_position_z':-0.3589309
'global_time':1.528002, 'head_position_x':0.3620229, 'head_position_y':1.65424, 'head_position_z':-0.3584855
'global_time':1.539034, 'head_position_x':0.3617796, 'head_position_y':1.654281, 'head_position_z':-0.3580323
'global_time':1.54887, 'head_position_x':0.3615394, 'head_position_y':1.654229, 'head_position_z':-0.3575667
'global_time':1.560396, 'head_position_x':0.3612845, 'head_position_y':1.654187, 'head_position_z':-0.357251
'global_time':1.569455, 'head_position_x':0.3609194, 'head_position_y':1.654182, 'head_position_z':-0.3565432
'global_time':1.579869, 'head_position_x':0.3607462, 'head_position_y':1.654141, 'head_position_z':-0.3562355
'global_time':1.590976, 'head_position_x':0.3606122, 'head_position_y':1.654081, 'head_position_z':-0.3558039
'global_time':1.602009, 'head_position_x':0.3604311, 'head_position_y':1.654072, 'head_position_z':-0.3554638
'global_time':1.616735, 'head_position_x':0.3602281, 'head_position_y':1.654069, 'head_position_z':-0.3550472
'global_time':1.628322, 'head_position_x':0.3600377, 'head_position_y':1.654049, 'head_position_z':-0.3547383
'global_time':1.638906, 'head_position_x':0.359836, 'head_position_y':1.654014, 'head_position_z':-0.3543886
'global_time':1.649883, 'head_position_x':0.3598205, 'head_position_y':1.653968, 'head_position_z':-0.3545757
'global_time':1.659655, 'head_position_x':0.3596803, 'head_position_y':1.653957, 'head_position_z':-0.3542946
'global_time':1.992988, 'head_position_x':0.359545, 'head_position_y':1.653933, 'head_position_z':-0.3539992
'global_time':2.01142, 'head_position_x':0.3520746, 'head_position_y':1.65432, 'head_position_z':-0.3537426
'global_time':2.023372, 'head_position_x':0.3519116, 'head_position_y':1.654325, 'head_position_z':-0.3539234
'global_time':2.03523, 'head_position_x':0.3517851, 'head_position_y':1.654322, 'head_position_z':-0.3540274
'global_time':2.046921, 'head_position_x':0.3516454, 'head_position_y':1.654343, 'head_position_z':-0.3541704
'global_time':2.058765, 'head_position_x':0.3515146, 'head_position_y':1.654343, 'head_position_z':-0.3542752
'global_time':2.070163, 'head_position_x':0.3514465, 'head_position_y':1.654342, 'head_position_z':-0.3546597
'global_time':2.08188, 'head_position_x':0.351326, 'head_position_y':1.65434, 'head_position_z':-0.3548011
'global_time':2.094189, 'head_position_x':0.3512362, 'head_position_y':1.654307, 'head_position_z':-0.3553515
