'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.278585, 'head_vector_x':-0.1348228, 'head_vector_y':0.01758806, 'head_vector_z':0.9907136
'global_time':1.292851, 'head_vector_x':-0.1322247, 'head_vector_y':0.01612683, 'head_vector_z':0.9910886
'global_time':1.303786, 'head_vector_x':-0.1299802, 'head_vector_y':0.01428904, 'head_vector_z':0.9914136
'global_time':1.314097, 'head_vector_x':-0.1275515, 'head_vector_y':0.01224986, 'head_vector_z':0.9917563
'global_time':1.325083, 'head_vector_x':-0.1239951, 'head_vector_y':0.01151883, 'head_vector_z':0.992216
'global_time':1.336218, 'head_vector_x':-0.1191657, 'head_vector_y':0.01192462, 'head_vector_z':0.9928028
'global_time':1.345813, 'head_vector_x':-0.1137713, 'head_vector_y':0.01214398, 'head_vector_z':0.9934328
'global_time':1.356366, 'head_vector_x':-0.1084233, 'head_vector_y':0.01218177, 'head_vector_z':0.9940302
'global_time':1.367029, 'head_vector_x':-0.1029109, 'head_vector_y':0.01226533, 'head_vector_z':0.994615
'global_time':1.377755, 'head_vector_x':-0.09770303, 'head_vector_y':0.0122907, 'head_vector_z':0.9951397
'global_time':1.388349, 'head_vector_x':-0.09291066, 'head_vector_y':0.01261899, 'head_vector_z':0.9955945
'global_time':1.399093, 'head_vector_x':-0.08858103, 'head_vector_y':0.01205255, 'head_vector_z':0.9959961
'global_time':1.41023, 'head_vector_x':-0.08501863, 'head_vector_y':0.01199464, 'head_vector_z':0.9963071
'global_time':1.421173, 'head_vector_x':-0.08209805, 'head_vector_y':0.01220834, 'head_vector_z':0.9965495
'global_time':1.433427, 'head_vector_x':-0.07948744, 'head_vector_y':0.01298652, 'head_vector_z':0.9967512
'global_time':1.445689, 'head_vector_x':-0.07690538, 'head_vector_y':0.01429743, 'head_vector_z':0.9969359
'global_time':1.456349, 'head_vector_x':-0.07416273, 'head_vector_y':0.01562526, 'head_vector_z':0.9971237
'global_time':1.467127, 'head_vector_x':-0.07197127, 'head_vector_y':0.01696854, 'head_vector_z':0.9972624
'global_time':1.478723, 'head_vector_x':-0.06964485, 'head_vector_y':0.01817546, 'head_vector_z':0.9974062
'global_time':1.488106, 'head_vector_x':-0.06787348, 'head_vector_y':0.01956591, 'head_vector_z':0.9975021
'global_time':1.498433, 'head_vector_x':-0.06585526, 'head_vector_y':0.02002395, 'head_vector_z':0.9976283
'global_time':1.507426, 'head_vector_x':-0.064258, 'head_vector_y':0.0202774, 'head_vector_z':0.9977273
