'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.521247, 'head_position_x':0.1223687, 'head_position_y':1.628005, 'head_position_z':-0.01199578
'global_time':1.532399, 'head_position_x':0.1174359, 'head_position_y':1.627668, 'head_position_z':-0.0118384
'global_time':1.543728, 'head_position_x':0.1125172, 'head_position_y':1.627256, 'head_position_z':-0.01161702
'global_time':1.555027, 'head_position_x':0.1075829, 'head_position_y':1.626783, 'head_position_z':-0.01150239
'global_time':1.566011, 'head_position_x':0.1026193, 'head_position_y':1.6262, 'head_position_z':-0.01130056
'global_time':1.576743, 'head_position_x':0.09760814, 'head_position_y':1.625478, 'head_position_z':-0.01127988
'global_time':1.587934, 'head_position_x':0.09261374, 'head_position_y':1.624796, 'head_position_z':-0.01109218
'global_time':1.598061, 'head_position_x':0.08763846, 'head_position_y':1.624092, 'head_position_z':-0.01103783
'global_time':1.609692, 'head_position_x':0.08264177, 'head_position_y':1.623388, 'head_position_z':-0.01083051
'global_time':1.623109, 'head_position_x':0.07761061, 'head_position_y':1.622613, 'head_position_z':-0.01059824
'global_time':1.638731, 'head_position_x':0.07265008, 'head_position_y':1.621844, 'head_position_z':-0.01039744
'global_time':1.650257, 'head_position_x':0.06773867, 'head_position_y':1.621029, 'head_position_z':-0.01030307
'global_time':1.663199, 'head_position_x':0.06284763, 'head_position_y':1.620233, 'head_position_z':-0.01026532
'global_time':1.674369, 'head_position_x':0.05333212, 'head_position_y':1.618459, 'head_position_z':-0.01021975
'global_time':1.687128, 'head_position_x':0.04862267, 'head_position_y':1.61764, 'head_position_z':-0.01023444
'global_time':1.69774, 'head_position_x':0.04405455, 'head_position_y':1.616866, 'head_position_z':-0.01037254
'global_time':1.709275, 'head_position_x':0.03948673, 'head_position_y':1.616171, 'head_position_z':-0.01041678
'global_time':1.720021, 'head_position_x':0.03502022, 'head_position_y':1.615561, 'head_position_z':-0.01058488
'global_time':1.733055, 'head_position_x':0.03064156, 'head_position_y':1.615006, 'head_position_z':-0.01085555
'global_time':1.742694, 'head_position_x':0.02638127, 'head_position_y':1.61451, 'head_position_z':-0.01104738
'global_time':1.75896, 'head_position_x':0.02220424, 'head_position_y':1.614072, 'head_position_z':-0.01148661
'global_time':1.77156, 'head_position_x':0.01814647, 'head_position_y':1.613672, 'head_position_z':-0.011753
'global_time':1.78202, 'head_position_x':0.01417171, 'head_position_y':1.613332, 'head_position_z':-0.01215461
'global_time':1.792801, 'head_position_x':0.01034467, 'head_position_y':1.613043, 'head_position_z':-0.0124952
'global_time':1.804707, 'head_position_x':0.006590426, 'head_position_y':1.61276, 'head_position_z':-0.01287759
'global_time':1.818779, 'head_position_x':-0.0005257032, 'head_position_y':1.61253, 'head_position_z':-0.01391246
'global_time':2.152112, 'head_position_x':-0.003825075, 'head_position_y':1.612605, 'head_position_z':-0.01455799
'global_time':2.170971, 'head_position_x':0.08723414, 'head_position_y':1.638237, 'head_position_z':-0.02394455
'global_time':2.181772, 'head_position_x':0.09136796, 'head_position_y':1.638488, 'head_position_z':-0.02362047
'global_time':2.192936, 'head_position_x':0.0954668, 'head_position_y':1.638688, 'head_position_z':-0.02344383
'global_time':2.207076, 'head_position_x':0.09952915, 'head_position_y':1.638866, 'head_position_z':-0.02328336
'global_time':2.218421, 'head_position_x':0.1076351, 'head_position_y':1.63917, 'head_position_z':-0.02303925
'global_time':2.231179, 'head_position_x':0.1117068, 'head_position_y':1.639289, 'head_position_z':-0.02287735
'global_time':2.241594, 'head_position_x':0.115679, 'head_position_y':1.639376, 'head_position_z':-0.02278327
'global_time':2.25491, 'head_position_x':0.1196013, 'head_position_y':1.639471, 'head_position_z':-0.02266712
'global_time':2.266241, 'head_position_x':0.1234701, 'head_position_y':1.639616, 'head_position_z':-0.02258891
'global_time':2.277987, 'head_position_x':0.1273091, 'head_position_y':1.639713, 'head_position_z':-0.02244723
'global_time':2.289704, 'head_position_x':0.1310967, 'head_position_y':1.639835, 'head_position_z':-0.02228021
'global_time':2.303413, 'head_position_x':0.1347766, 'head_position_y':1.639968, 'head_position_z':-0.02208181
'global_time':2.318605, 'head_position_x':0.1419558, 'head_position_y':1.640375, 'head_position_z':-0.02155555
'global_time':2.330559, 'head_position_x':0.1454345, 'head_position_y':1.640594, 'head_position_z':-0.02122144
