'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':1.168202, 'gaze_vector_x':0.1069342, 'gaze_vector_y':0.006872022, 'gaze_vector_z':0.9942424
'gaze_vector':1.181591, 'gaze_vector_x':0.1124133, 'gaze_vector_y':0.008565191, 'gaze_vector_z':0.9936246
'gaze_vector':1.19323, 'gaze_vector_x':0.1146208, 'gaze_vector_y':0.01083887, 'gaze_vector_z':0.9933502
'gaze_vector':1.209006, 'gaze_vector_x':0.1172912, 'gaze_vector_y':0.01160316, 'gaze_vector_z':0.9930298
'gaze_vector':1.220484, 'gaze_vector_x':0.1221778, 'gaze_vector_y':0.01230382, 'gaze_vector_z':0.992432
'gaze_vector':1.230913, 'gaze_vector_x':0.1231057, 'gaze_vector_y':0.01276797, 'gaze_vector_z':0.9923114
'gaze_vector':1.243352, 'gaze_vector_x':0.1230005, 'gaze_vector_y':0.01333665, 'gaze_vector_z':0.992317
'gaze_vector':1.2563, 'gaze_vector_x':0.120982, 'gaze_vector_y':0.0142435, 'gaze_vector_z':0.9925525
'gaze_vector':1.268067, 'gaze_vector_x':0.1181794, 'gaze_vector_y':0.01534687, 'gaze_vector_z':0.9928737
'gaze_vector':1.280441, 'gaze_vector_x':0.1151081, 'gaze_vector_y':0.01646701, 'gaze_vector_z':0.9932165
'gaze_vector':1.293807, 'gaze_vector_x':0.1119102, 'gaze_vector_y':0.01707909, 'gaze_vector_z':0.9935715
'gaze_vector':1.304974, 'gaze_vector_x':0.1088946, 'gaze_vector_y':0.01724758, 'gaze_vector_z':0.9939036
'gaze_vector':1.315495, 'gaze_vector_x':0.1059781, 'gaze_vector_y':0.01770314, 'gaze_vector_z':0.9942108
'gaze_vector':1.326088, 'gaze_vector_x':0.1032528, 'gaze_vector_y':0.01782989, 'gaze_vector_z':0.9944953
'gaze_vector':1.337979, 'gaze_vector_x':0.1011149, 'gaze_vector_y':0.01846294, 'gaze_vector_z':0.9947034
'gaze_vector':1.350677, 'gaze_vector_x':0.09900983, 'gaze_vector_y':0.01906024, 'gaze_vector_z':0.9949039
'gaze_vector':1.361507, 'gaze_vector_x':0.09738586, 'gaze_vector_y':0.01996668, 'gaze_vector_z':0.9950464
'gaze_vector':1.371848, 'gaze_vector_x':0.09604794, 'gaze_vector_y':0.02074589, 'gaze_vector_z':0.9951605
'gaze_vector':1.38252, 'gaze_vector_x':0.09536228, 'gaze_vector_y':0.02182341, 'gaze_vector_z':0.9952034
'gaze_vector':1.394611, 'gaze_vector_x':0.09489048, 'gaze_vector_y':0.02294879, 'gaze_vector_z':0.9952232
'gaze_vector':1.404979, 'gaze_vector_x':0.09478528, 'gaze_vector_y':0.02455777, 'gaze_vector_z':0.9951948
'gaze_vector':1.414943, 'gaze_vector_x':0.09542151, 'gaze_vector_y':0.02641759, 'gaze_vector_z':0.9950864
'gaze_vector':1.426641, 'gaze_vector_x':0.0962356, 'gaze_vector_y':0.02782843, 'gaze_vector_z':0.9949695
'gaze_vector':1.439303, 'gaze_vector_x':0.09734055, 'gaze_vector_y':0.02962562, 'gaze_vector_z':0.9948101
'gaze_vector':1.45123, 'gaze_vector_x':0.09854937, 'gaze_vector_y':0.03072899, 'gaze_vector_z':0.9946576
'gaze_vector':1.463158, 'gaze_vector_x':0.1009703, 'gaze_vector_y':0.03218979, 'gaze_vector_z':0.9943686
'gaze_vector':1.474473, 'gaze_vector_x':0.1020154, 'gaze_vector_y':0.03249411, 'gaze_vector_z':0.994252
'gaze_vector':1.486855, 'gaze_vector_x':0.1029835, 'gaze_vector_y':0.0320853, 'gaze_vector_z':0.9941654
'gaze_vector':1.498304, 'gaze_vector_x':0.1036087, 'gaze_vector_y':0.03173732, 'gaze_vector_z':0.9941117
'gaze_vector':1.509341, 'gaze_vector_x':0.1038956, 'gaze_vector_y':0.03087216, 'gaze_vector_z':0.994109
'gaze_vector':1.521247, 'gaze_vector_x':0.1039352, 'gaze_vector_y':0.02989604, 'gaze_vector_z':0.9941347
'gaze_vector':1.532399, 'gaze_vector_x':0.1036133, 'gaze_vector_y':0.02811032, 'gaze_vector_z':0.9942204
'gaze_vector':1.543728, 'gaze_vector_x':0.1029298, 'gaze_vector_y':0.02622856, 'gaze_vector_z':0.9943427
'gaze_vector':1.555027, 'gaze_vector_x':0.1018521, 'gaze_vector_y':0.02389105, 'gaze_vector_z':0.9945126
'gaze_vector':1.566011, 'gaze_vector_x':0.1009133, 'gaze_vector_y':0.02114488, 'gaze_vector_z':0.9946705
'gaze_vector':1.576743, 'gaze_vector_x':0.09889644, 'gaze_vector_y':0.01769508, 'gaze_vector_z':0.9949404
'gaze_vector':1.587934, 'gaze_vector_x':0.09682763, 'gaze_vector_y':0.01417103, 'gaze_vector_z':0.9952003
'gaze_vector':1.598061, 'gaze_vector_x':0.09451013, 'gaze_vector_y':0.01088728, 'gaze_vector_z':0.9954644
'gaze_vector':1.609692, 'gaze_vector_x':0.09187583, 'gaze_vector_y':0.007374207, 'gaze_vector_z':0.9957432
'gaze_vector':1.623109, 'gaze_vector_x':0.08837108, 'gaze_vector_y':0.00426398, 'gaze_vector_z':0.9960785
'gaze_vector':1.638731, 'gaze_vector_x':0.08471905, 'gaze_vector_y':0.0009837674, 'gaze_vector_z':0.9964044
'gaze_vector':1.650257, 'gaze_vector_x':0.08071652, 'gaze_vector_y':-0.002215322, 'gaze_vector_z':0.9967346
'gaze_vector':1.663199, 'gaze_vector_x':0.07657148, 'gaze_vector_y':-0.005416931, 'gaze_vector_z':0.9970494
'gaze_vector':1.674369, 'gaze_vector_x':0.06735675, 'gaze_vector_y':-0.01089196, 'gaze_vector_z':0.9976695
'gaze_vector':1.687128, 'gaze_vector_x':0.06298201, 'gaze_vector_y':-0.01376478, 'gaze_vector_z':0.9979197
'gaze_vector':1.69774, 'gaze_vector_x':0.05834918, 'gaze_vector_y':-0.01658669, 'gaze_vector_z':0.9981585
'gaze_vector':1.709275, 'gaze_vector_x':0.05334109, 'gaze_vector_y':-0.01900419, 'gaze_vector_z':0.9983955
'gaze_vector':1.720021, 'gaze_vector_x':0.04833651, 'gaze_vector_y':-0.02144583, 'gaze_vector_z':0.9986008
'gaze_vector':1.733055, 'gaze_vector_x':0.0431743, 'gaze_vector_y':-0.02357694, 'gaze_vector_z':0.9987893
'gaze_vector':1.742694, 'gaze_vector_x':0.03804607, 'gaze_vector_y':-0.02514548, 'gaze_vector_z':0.9989595
'gaze_vector':1.75896, 'gaze_vector_x':0.03320457, 'gaze_vector_y':-0.02654854, 'gaze_vector_z':0.9990959
'gaze_vector':1.77156, 'gaze_vector_x':0.02816495, 'gaze_vector_y':-0.02731995, 'gaze_vector_z':0.9992299
'gaze_vector':1.78202, 'gaze_vector_x':0.02351116, 'gaze_vector_y':-0.0278215, 'gaze_vector_z':0.9993364
'gaze_vector':1.792801, 'gaze_vector_x':0.01889577, 'gaze_vector_y':-0.02792223, 'gaze_vector_z':0.9994315
'gaze_vector':1.804707, 'gaze_vector_x':0.01457404, 'gaze_vector_y':-0.02764797, 'gaze_vector_z':0.9995115
'gaze_vector':1.818779, 'gaze_vector_x':0.007159808, 'gaze_vector_y':-0.02659191, 'gaze_vector_z':0.9996207
'gaze_vector':2.152112, 'gaze_vector_x':0.003679911, 'gaze_vector_y':-0.02571625, 'gaze_vector_z':0.9996625
'gaze_vector':2.170971, 'gaze_vector_x':-0.04600155, 'gaze_vector_y':0.1265194, 'gaze_vector_z':0.9908969
'gaze_vector':2.181772, 'gaze_vector_x':-0.04478078, 'gaze_vector_y':0.1280504, 'gaze_vector_z':0.9907562
'gaze_vector':2.192936, 'gaze_vector_x':-0.04343121, 'gaze_vector_y':0.128862, 'gaze_vector_z':0.990711
'gaze_vector':2.207076, 'gaze_vector_x':-0.04202247, 'gaze_vector_y':0.129377, 'gaze_vector_z':0.9907047
'gaze_vector':2.218421, 'gaze_vector_x':-0.0391908, 'gaze_vector_y':0.1294654, 'gaze_vector_z':0.9908091
'gaze_vector':2.231179, 'gaze_vector_x':-0.03814644, 'gaze_vector_y':0.129369, 'gaze_vector_z':0.9908625
'gaze_vector':2.241594, 'gaze_vector_x':-0.03704194, 'gaze_vector_y':0.1294337, 'gaze_vector_z':0.990896
'gaze_vector':2.25491, 'gaze_vector_x':-0.03658176, 'gaze_vector_y':0.1298458, 'gaze_vector_z':0.9908592
'gaze_vector':2.266241, 'gaze_vector_x':-0.03597787, 'gaze_vector_y':0.1302922, 'gaze_vector_z':0.9908227
'gaze_vector':2.277987, 'gaze_vector_x':-0.03565949, 'gaze_vector_y':0.1312313, 'gaze_vector_z':0.9907102
'gaze_vector':2.289704, 'gaze_vector_x':-0.03553974, 'gaze_vector_y':0.1322179, 'gaze_vector_z':0.9905834
'gaze_vector':2.303413, 'gaze_vector_x':-0.03557735, 'gaze_vector_y':0.1331294, 'gaze_vector_z':0.9904599
'gaze_vector':2.318605, 'gaze_vector_x':-0.03614204, 'gaze_vector_y':0.1354233, 'gaze_vector_z':0.9901284
'gaze_vector':2.330559, 'gaze_vector_x':-0.03648743, 'gaze_vector_y':0.1365752, 'gaze_vector_z':0.9899575
'gaze_vector':2.342773, 'gaze_vector_x':-0.03679073, 'gaze_vector_y':0.1380536, 'gaze_vector_z':0.9897412
'gaze_vector':2.355331, 'gaze_vector_x':-0.0374654, 'gaze_vector_y':0.1390574, 'gaze_vector_z':0.9895754
'gaze_vector':2.366255, 'gaze_vector_x':-0.03778846, 'gaze_vector_y':0.1400985, 'gaze_vector_z':0.9894162
'gaze_vector':2.378563, 'gaze_vector_x':-0.03848398, 'gaze_vector_y':0.1412347, 'gaze_vector_z':0.9892278
'gaze_vector':2.392361, 'gaze_vector_x':-0.03850275, 'gaze_vector_y':0.1423335, 'gaze_vector_z':0.9890696
'gaze_vector':2.404377, 'gaze_vector_x':-0.03903662, 'gaze_vector_y':0.1432543, 'gaze_vector_z':0.9889157
'gaze_vector':2.416986, 'gaze_vector_x':-0.03936914, 'gaze_vector_y':0.1439344, 'gaze_vector_z':0.9888038
'gaze_vector':2.433845, 'gaze_vector_x':-0.0399944, 'gaze_vector_y':0.1453253, 'gaze_vector_z':0.9885752
'gaze_vector':2.446782, 'gaze_vector_x':-0.04032449, 'gaze_vector_y':0.1462427, 'gaze_vector_z':0.9884266
'gaze_vector':2.45936, 'gaze_vector_x':-0.04025523, 'gaze_vector_y':0.1467429, 'gaze_vector_z':0.9883552
'gaze_vector':2.471195, 'gaze_vector_x':-0.04049138, 'gaze_vector_y':0.1471274, 'gaze_vector_z':0.9882884
'gaze_vector':2.486583, 'gaze_vector_x':-0.04088157, 'gaze_vector_y':0.1476241, 'gaze_vector_z':0.9881983
'gaze_vector':2.497978, 'gaze_vector_x':-0.04090873, 'gaze_vector_y':0.1475206, 'gaze_vector_z':0.9882126
'gaze_vector':2.51009, 'gaze_vector_x':-0.04120103, 'gaze_vector_y':0.147629, 'gaze_vector_z':0.9881843
'gaze_vector':2.520871, 'gaze_vector_x':-0.0412345, 'gaze_vector_y':0.1476368, 'gaze_vector_z':0.9881817
'gaze_vector':2.532971, 'gaze_vector_x':-0.04144273, 'gaze_vector_y':0.1475515, 'gaze_vector_z':0.9881858
'gaze_vector':2.544867, 'gaze_vector_x':-0.04144699, 'gaze_vector_y':0.1477172, 'gaze_vector_z':0.9881608
'gaze_vector':2.556868, 'gaze_vector_x':-0.04114129, 'gaze_vector_y':0.1483382, 'gaze_vector_z':0.9880806
'gaze_vector':2.568588, 'gaze_vector_x':-0.04067092, 'gaze_vector_y':0.14918, 'gaze_vector_z':0.9879733
'gaze_vector':2.581642, 'gaze_vector_x':-0.03990874, 'gaze_vector_y':0.1510084, 'gaze_vector_z':0.9877266
'gaze_vector':2.593372, 'gaze_vector_x':-0.03895846, 'gaze_vector_y':0.1524, 'gaze_vector_z':0.9875507
'gaze_vector':2.603726, 'gaze_vector_x':-0.03712126, 'gaze_vector_y':0.1545084, 'gaze_vector_z':0.9872938
'gaze_vector':2.614796, 'gaze_vector_x':-0.03506491, 'gaze_vector_y':0.1564658, 'gaze_vector_z':0.9870607
'gaze_vector':2.62704, 'gaze_vector_x':-0.03266746, 'gaze_vector_y':0.1585512, 'gaze_vector_z':0.9868102
'gaze_vector':2.638498, 'gaze_vector_x':-0.0300188, 'gaze_vector_y':0.1604865, 'gaze_vector_z':0.9865814
'gaze_vector':2.649734, 'gaze_vector_x':-0.0267947, 'gaze_vector_y':0.1620086, 'gaze_vector_z':0.9864255
'gaze_vector':2.661379, 'gaze_vector_x':-0.0232013, 'gaze_vector_y':0.1628607, 'gaze_vector_z':0.9863762
'gaze_vector':2.673838, 'gaze_vector_x':-0.01984028, 'gaze_vector_y':0.1641731, 'gaze_vector_z':0.986232
'gaze_vector':2.686727, 'gaze_vector_x':-0.01239145, 'gaze_vector_y':0.167507, 'gaze_vector_z':0.985793
'gaze_vector':2.698055, 'gaze_vector_x':-0.008607932, 'gaze_vector_y':0.1699877, 'gaze_vector_z':0.9854086
'gaze_vector':2.707788, 'gaze_vector_x':-0.004881633, 'gaze_vector_y':0.1722461, 'gaze_vector_z':0.9850419
'gaze_vector':2.71969, 'gaze_vector_x':-0.001315447, 'gaze_vector_y':0.1743646, 'gaze_vector_z':0.9846803
'gaze_vector':2.731575, 'gaze_vector_x':0.002545857, 'gaze_vector_y':0.1762474, 'gaze_vector_z':0.9843426
'gaze_vector':2.74352, 'gaze_vector_x':0.00628949, 'gaze_vector_y':0.1784633, 'gaze_vector_z':0.9839265
'gaze_vector':2.754885, 'gaze_vector_x':0.009882083, 'gaze_vector_y':0.1807476, 'gaze_vector_z':0.9834799
'gaze_vector':2.769325, 'gaze_vector_x':0.01336352, 'gaze_vector_y':0.1833997, 'gaze_vector_z':0.9829476
'gaze_vector':2.781821, 'gaze_vector_x':0.01673616, 'gaze_vector_y':0.1862834, 'gaze_vector_z':0.9823535
'gaze_vector':2.792959, 'gaze_vector_x':0.01993263, 'gaze_vector_y':0.1893777, 'gaze_vector_z':0.981702
'gaze_vector':2.80581, 'gaze_vector_x':0.02315904, 'gaze_vector_y':0.1931093, 'gaze_vector_z':0.9809039
'gaze_vector':2.818139, 'gaze_vector_x':0.02651317, 'gaze_vector_y':0.1966824, 'gaze_vector_z':0.9801087
'gaze_vector':2.830318, 'gaze_vector_x':0.0325824, 'gaze_vector_y':0.2034693, 'gaze_vector_z':0.978539
'gaze_vector':2.840832, 'gaze_vector_x':0.03550344, 'gaze_vector_y':0.2067937, 'gaze_vector_z':0.9777402
'gaze_vector':2.853507, 'gaze_vector_x':0.038437, 'gaze_vector_y':0.2103665, 'gaze_vector_z':0.9768667
'gaze_vector':2.866923, 'gaze_vector_x':0.04106431, 'gaze_vector_y':0.2140253, 'gaze_vector_z':0.9759646
'gaze_vector':2.879093, 'gaze_vector_x':0.04373944, 'gaze_vector_y':0.2178577, 'gaze_vector_z':0.975
'gaze_vector':2.891653, 'gaze_vector_x':0.04625116, 'gaze_vector_y':0.2217778, 'gaze_vector_z':0.9739997
'gaze_vector':2.90333, 'gaze_vector_x':0.04908885, 'gaze_vector_y':0.2254626, 'gaze_vector_z':0.9730144
'gaze_vector':2.916331, 'gaze_vector_x':0.05213849, 'gaze_vector_y':0.229306, 'gaze_vector_z':0.971957
'gaze_vector':2.92888, 'gaze_vector_x':0.05773972, 'gaze_vector_y':0.2360627, 'gaze_vector_z':0.9700209
'gaze_vector':2.940999, 'gaze_vector_x':0.06056331, 'gaze_vector_y':0.2381932, 'gaze_vector_z':0.9693276
'gaze_vector':2.952453, 'gaze_vector_x':0.06334554, 'gaze_vector_y':0.240023, 'gaze_vector_z':0.9686983
'gaze_vector':2.963799, 'gaze_vector_x':0.06557875, 'gaze_vector_y':0.2417127, 'gaze_vector_z':0.9681293
'gaze_vector':2.975384, 'gaze_vector_x':0.0676263, 'gaze_vector_y':0.2442224, 'gaze_vector_z':0.9673583
'gaze_vector':2.987251, 'gaze_vector_x':0.0695891, 'gaze_vector_y':0.2469372, 'gaze_vector_z':0.9665295
'gaze_vector':2.997664, 'gaze_vector_x':0.0713277, 'gaze_vector_y':0.2493194, 'gaze_vector_z':0.965791
'gaze_vector':3.01071, 'gaze_vector_x':0.07296398, 'gaze_vector_y':0.2508491, 'gaze_vector_z':0.9652725
'gaze_vector':3.021584, 'gaze_vector_x':0.07446913, 'gaze_vector_y':0.251905, 'gaze_vector_z':0.9648825
'gaze_vector':3.032921, 'gaze_vector_x':0.07654012, 'gaze_vector_y':0.252506, 'gaze_vector_z':0.9645633
'gaze_vector':3.043075, 'gaze_vector_x':0.07869057, 'gaze_vector_y':0.2529829, 'gaze_vector_z':0.9642652
'gaze_vector':3.054093, 'gaze_vector_x':0.0814872, 'gaze_vector_y':0.2537753, 'gaze_vector_z':0.9638246
'gaze_vector':3.066138, 'gaze_vector_x':0.08482724, 'gaze_vector_y':0.2544978, 'gaze_vector_z':0.9633458
'gaze_vector':3.080198, 'gaze_vector_x':0.08795805, 'gaze_vector_y':0.2551832, 'gaze_vector_z':0.9628837
'gaze_vector':3.092755, 'gaze_vector_x':0.09075824, 'gaze_vector_y':0.2556983, 'gaze_vector_z':0.962487
'gaze_vector':3.10369, 'gaze_vector_x':0.09401677, 'gaze_vector_y':0.255705, 'gaze_vector_z':0.9621724
'gaze_vector':3.114804, 'gaze_vector_x':0.09716379, 'gaze_vector_y':0.2557853, 'gaze_vector_z':0.9618384
'gaze_vector':3.126081, 'gaze_vector_x':0.1005454, 'gaze_vector_y':0.2565246, 'gaze_vector_z':0.9612938
'gaze_vector':3.139091, 'gaze_vector_x':0.1037371, 'gaze_vector_y':0.2583213, 'gaze_vector_z':0.9604732
'gaze_vector':3.150526, 'gaze_vector_x':0.1071474, 'gaze_vector_y':0.260931, 'gaze_vector_z':0.9593928
'gaze_vector':3.161677, 'gaze_vector_x':0.1099978, 'gaze_vector_y':0.2632092, 'gaze_vector_z':0.9584474
'gaze_vector':3.172622, 'gaze_vector_x':0.1121868, 'gaze_vector_y':0.2658855, 'gaze_vector_z':0.9574544
'gaze_vector':3.1836, 'gaze_vector_x':0.1135582, 'gaze_vector_y':0.2680667, 'gaze_vector_z':0.9566842
'gaze_vector':3.195594, 'gaze_vector_x':0.114015, 'gaze_vector_y':0.2693615, 'gaze_vector_z':0.9562662
'gaze_vector':3.208465, 'gaze_vector_x':0.112473, 'gaze_vector_y':0.2696438, 'gaze_vector_z':0.9563692
'gaze_vector':3.2185, 'gaze_vector_x':0.1109597, 'gaze_vector_y':0.2694619, 'gaze_vector_z':0.9565972
'gaze_vector':3.229898, 'gaze_vector_x':0.1095775, 'gaze_vector_y':0.2692664, 'gaze_vector_z':0.9568115
'gaze_vector':3.241957, 'gaze_vector_x':0.1078683, 'gaze_vector_y':0.2694141, 'gaze_vector_z':0.9569642
'gaze_vector':3.252902, 'gaze_vector_x':0.1064842, 'gaze_vector_y':0.2698269, 'gaze_vector_z':0.9570029
'gaze_vector':3.265876, 'gaze_vector_x':0.1049184, 'gaze_vector_y':0.2703739, 'gaze_vector_z':0.9570215
