'gaze_vector':2.335347, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.347547, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.360294, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.373693, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.385962, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.396217, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.407433, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.420205, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.430704, 'gaze_vector_x':-0.03678694, 'gaze_vector_y':0.01475124, 'gaze_vector_z':0.9992059
'gaze_vector':2.44249, 'gaze_vector_x':-0.0622986, 'gaze_vector_y':0.02826035, 'gaze_vector_z':0.9976427
'gaze_vector':2.454957, 'gaze_vector_x':-0.04525114, 'gaze_vector_y':0.03238636, 'gaze_vector_z':0.9984413
'gaze_vector':2.469103, 'gaze_vector_x':-0.04215099, 'gaze_vector_y':0.04332025, 'gaze_vector_z':0.9981669
'gaze_vector':2.481499, 'gaze_vector_x':-0.04253321, 'gaze_vector_y':0.0448091, 'gaze_vector_z':0.9980819
'gaze_vector':2.496268, 'gaze_vector_x':-0.04259085, 'gaze_vector_y':0.05890566, 'gaze_vector_z':0.9973456
'gaze_vector':2.513237, 'gaze_vector_x':-0.05411522, 'gaze_vector_y':0.05709195, 'gaze_vector_z':0.9968919
'gaze_vector':2.526824, 'gaze_vector_x':-0.05087202, 'gaze_vector_y':0.0503567, 'gaze_vector_z':0.9974198
'gaze_vector':2.537796, 'gaze_vector_x':-0.04844265, 'gaze_vector_y':0.03862341, 'gaze_vector_z':0.9980696
'gaze_vector':2.549132, 'gaze_vector_x':-0.06411958, 'gaze_vector_y':0.06672502, 'gaze_vector_z':0.9957075
'gaze_vector':2.561591, 'gaze_vector_x':-0.05123248, 'gaze_vector_y':0.0543908, 'gaze_vector_z':0.997198
'gaze_vector':2.573656, 'gaze_vector_x':-0.05133234, 'gaze_vector_y':0.0570003, 'gaze_vector_z':0.9970523
'gaze_vector':2.585644, 'gaze_vector_x':-0.04507326, 'gaze_vector_y':0.0607233, 'gaze_vector_z':0.9971258
'gaze_vector':2.59709, 'gaze_vector_x':-0.04244313, 'gaze_vector_y':0.06894003, 'gaze_vector_z':0.9967076
'gaze_vector':2.611234, 'gaze_vector_x':-0.04768073, 'gaze_vector_y':0.07566396, 'gaze_vector_z':0.9959809
'gaze_vector':2.622519, 'gaze_vector_x':-0.04865349, 'gaze_vector_y':0.07113408, 'gaze_vector_z':0.9962767
'gaze_vector':2.634669, 'gaze_vector_x':-0.04971853, 'gaze_vector_y':0.06987964, 'gaze_vector_z':0.9963005
'gaze_vector':2.646012, 'gaze_vector_x':-0.05049521, 'gaze_vector_y':0.07204094, 'gaze_vector_z':0.9961081
'gaze_vector':2.658691, 'gaze_vector_x':-0.05221366, 'gaze_vector_y':0.07710542, 'gaze_vector_z':0.9956406
'gaze_vector':2.670653, 'gaze_vector_x':-0.05475744, 'gaze_vector_y':0.0759247, 'gaze_vector_z':0.9955955
'gaze_vector':2.682047, 'gaze_vector_x':-0.05425879, 'gaze_vector_y':0.0814642, 'gaze_vector_z':0.9951872
'gaze_vector':2.694659, 'gaze_vector_x':-0.04400184, 'gaze_vector_y':0.07989942, 'gaze_vector_z':0.9958175
'gaze_vector':2.706213, 'gaze_vector_x':0.09456665, 'gaze_vector_y':0.04202834, 'gaze_vector_z':0.9946154
'gaze_vector':2.718242, 'gaze_vector_x':0.1733223, 'gaze_vector_y':0.05323476, 'gaze_vector_z':0.9834108
'gaze_vector':2.729383, 'gaze_vector_x':0.2564426, 'gaze_vector_y':0.04476187, 'gaze_vector_z':0.9655095
'gaze_vector':2.739798, 'gaze_vector_x':0.3219453, 'gaze_vector_y':0.04876061, 'gaze_vector_z':0.9454855
'gaze_vector':2.75273, 'gaze_vector_x':0.3710128, 'gaze_vector_y':0.03431249, 'gaze_vector_z':0.9279799
'gaze_vector':2.763621, 'gaze_vector_x':0.447968, 'gaze_vector_y':0.01181085, 'gaze_vector_z':0.8939634
'gaze_vector':2.777101, 'gaze_vector_x':0.4497985, 'gaze_vector_y':0.02671489, 'gaze_vector_z':0.8927127
'gaze_vector':2.788612, 'gaze_vector_x':0.4364659, 'gaze_vector_y':0.03769886, 'gaze_vector_z':0.898923
'gaze_vector':2.80235, 'gaze_vector_x':0.4066637, 'gaze_vector_y':0.02559757, 'gaze_vector_z':0.9132114
'gaze_vector':2.814121, 'gaze_vector_x':0.4179756, 'gaze_vector_y':0.03378674, 'gaze_vector_z':0.9078174
'gaze_vector':2.824875, 'gaze_vector_x':0.4059372, 'gaze_vector_y':0.02700603, 'gaze_vector_z':0.9134927
'gaze_vector':2.836385, 'gaze_vector_x':0.4295081, 'gaze_vector_y':0.02646932, 'gaze_vector_z':0.9026556
'gaze_vector':2.848288, 'gaze_vector_x':0.4354688, 'gaze_vector_y':0.03074488, 'gaze_vector_z':0.8996713
'gaze_vector':2.859755, 'gaze_vector_x':0.4483926, 'gaze_vector_y':0.01203011, 'gaze_vector_z':0.8937432
'gaze_vector':2.87175, 'gaze_vector_x':0.4539177, 'gaze_vector_y':0.02086505, 'gaze_vector_z':0.890783
'gaze_vector':2.881736, 'gaze_vector_x':0.4414816, 'gaze_vector_y':0.009736493, 'gaze_vector_z':0.8972159
'gaze_vector':2.893549, 'gaze_vector_x':0.44771, 'gaze_vector_y':0.007374674, 'gaze_vector_z':0.8941406
'gaze_vector':2.90558, 'gaze_vector_x':0.4526219, 'gaze_vector_y':-0.002096161, 'gaze_vector_z':0.891685
'gaze_vector':2.917084, 'gaze_vector_x':0.443451, 'gaze_vector_y':0.008836195, 'gaze_vector_z':0.8962401
'gaze_vector':2.929646, 'gaze_vector_x':0.4360678, 'gaze_vector_y':0.006039321, 'gaze_vector_z':0.8998801
'gaze_vector':2.941979, 'gaze_vector_x':0.4370916, 'gaze_vector_y':0.005124316, 'gaze_vector_z':0.899393
'gaze_vector':2.953575, 'gaze_vector_x':0.433807, 'gaze_vector_y':0.0007661283, 'gaze_vector_z':0.9009905
'gaze_vector':2.964543, 'gaze_vector_x':0.4243382, 'gaze_vector_y':0.008252501, 'gaze_vector_z':0.9054614
'gaze_vector':2.976341, 'gaze_vector_x':0.4188808, 'gaze_vector_y':0.002519041, 'gaze_vector_z':0.9080281
'gaze_vector':2.990734, 'gaze_vector_x':0.4130581, 'gaze_vector_y':0.006223947, 'gaze_vector_z':0.9106714
'gaze_vector':3.002748, 'gaze_vector_x':0.4078664, 'gaze_vector_y':0.01330033, 'gaze_vector_z':0.912928
'gaze_vector':3.014074, 'gaze_vector_x':0.4097071, 'gaze_vector_y':0.01408188, 'gaze_vector_z':0.9120948
'gaze_vector':3.024836, 'gaze_vector_x':0.4078837, 'gaze_vector_y':0.01608016, 'gaze_vector_z':0.9128739
'gaze_vector':3.037897, 'gaze_vector_x':0.4064538, 'gaze_vector_y':0.01481044, 'gaze_vector_z':0.913544
'gaze_vector':3.048737, 'gaze_vector_x':0.3900453, 'gaze_vector_y':0.01934277, 'gaze_vector_z':0.9205841
'gaze_vector':3.060351, 'gaze_vector_x':0.400512, 'gaze_vector_y':0.01704192, 'gaze_vector_z':0.916123
'gaze_vector':3.071971, 'gaze_vector_x':0.3994333, 'gaze_vector_y':0.01278588, 'gaze_vector_z':0.9166682
'gaze_vector':3.085773, 'gaze_vector_x':0.391979, 'gaze_vector_y':0.01635143, 'gaze_vector_z':0.9198172
'gaze_vector':3.097126, 'gaze_vector_x':0.3926036, 'gaze_vector_y':0.01861164, 'gaze_vector_z':0.9195037
'gaze_vector':3.110064, 'gaze_vector_x':0.3880011, 'gaze_vector_y':0.01894772, 'gaze_vector_z':0.9214597
'gaze_vector':3.124022, 'gaze_vector_x':0.3870694, 'gaze_vector_y':0.02214153, 'gaze_vector_z':0.9217695
'gaze_vector':3.134839, 'gaze_vector_x':0.3831117, 'gaze_vector_y':0.01533313, 'gaze_vector_z':0.9235713
'gaze_vector':3.145389, 'gaze_vector_x':0.3891872, 'gaze_vector_y':0.02365515, 'gaze_vector_z':0.9208382
'gaze_vector':3.156379, 'gaze_vector_x':0.3343186, 'gaze_vector_y':0.06276785, 'gaze_vector_z':0.940365
'gaze_vector':3.170031, 'gaze_vector_x':0.2652615, 'gaze_vector_y':0.09829894, 'gaze_vector_z':0.9591359
'gaze_vector':3.181206, 'gaze_vector_x':0.1952301, 'gaze_vector_y':0.1675997, 'gaze_vector_z':0.9663211
'gaze_vector':3.191474, 'gaze_vector_x':0.09889635, 'gaze_vector_y':0.2348039, 'gaze_vector_z':0.9669961
'gaze_vector':3.203541, 'gaze_vector_x':0.04564793, 'gaze_vector_y':0.2546498, 'gaze_vector_z':0.9659458
'gaze_vector':3.216204, 'gaze_vector_x':-0.03727874, 'gaze_vector_y':0.2909245, 'gaze_vector_z':0.9560085
