'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':2.463622, 'head_position_x':-0.1224604, 'head_position_y':1.10147, 'head_position_z':-0.5604832
'global_time':2.478533, 'head_position_x':-0.1225777, 'head_position_y':1.101574, 'head_position_z':-0.5603502
'global_time':2.49438, 'head_position_x':-0.122589, 'head_position_y':1.101592, 'head_position_z':-0.5603399
'global_time':2.506676, 'head_position_x':-0.1225592, 'head_position_y':1.101618, 'head_position_z':-0.5602753
'global_time':2.517995, 'head_position_x':-0.1224681, 'head_position_y':1.101631, 'head_position_z':-0.5603557
'global_time':2.529065, 'head_position_x':-0.1224696, 'head_position_y':1.101683, 'head_position_z':-0.5603307
'global_time':2.542248, 'head_position_x':-0.1224273, 'head_position_y':1.101667, 'head_position_z':-0.5603279
'global_time':2.554213, 'head_position_x':-0.1224479, 'head_position_y':1.101732, 'head_position_z':-0.5603244
'global_time':2.563994, 'head_position_x':-0.1224386, 'head_position_y':1.101781, 'head_position_z':-0.5603144
'global_time':2.576534, 'head_position_x':-0.1223729, 'head_position_y':1.101833, 'head_position_z':-0.5603173
'global_time':2.589304, 'head_position_x':-0.1223946, 'head_position_y':1.101884, 'head_position_z':-0.5603048
'global_time':2.602183, 'head_position_x':-0.1224293, 'head_position_y':1.101959, 'head_position_z':-0.5602799
'global_time':2.61436, 'head_position_x':-0.122452, 'head_position_y':1.102043, 'head_position_z':-0.5602427
'global_time':2.629822, 'head_position_x':-0.1225007, 'head_position_y':1.102149, 'head_position_z':-0.5602884
'global_time':2.642363, 'head_position_x':-0.1226079, 'head_position_y':1.102239, 'head_position_z':-0.5604007
'global_time':2.654759, 'head_position_x':-0.1226457, 'head_position_y':1.102283, 'head_position_z':-0.5604211
'global_time':2.66604, 'head_position_x':-0.122622, 'head_position_y':1.102277, 'head_position_z':-0.5605016
'global_time':2.679731, 'head_position_x':-0.1226642, 'head_position_y':1.102256, 'head_position_z':-0.5604824
'global_time':2.691159, 'head_position_x':-0.1225974, 'head_position_y':1.102147, 'head_position_z':-0.5606072
'global_time':2.703513, 'head_position_x':-0.1225121, 'head_position_y':1.102039, 'head_position_z':-0.5608197
'global_time':2.713793, 'head_position_x':-0.1225019, 'head_position_y':1.101996, 'head_position_z':-0.5608513
'global_time':2.724746, 'head_position_x':-0.1223939, 'head_position_y':1.101879, 'head_position_z':-0.5610678
'global_time':2.736468, 'head_position_x':-0.1224247, 'head_position_y':1.101827, 'head_position_z':-0.5610965
'global_time':2.747123, 'head_position_x':-0.1224467, 'head_position_y':1.101771, 'head_position_z':-0.5611727
'global_time':2.757329, 'head_position_x':-0.1224534, 'head_position_y':1.101788, 'head_position_z':-0.5612181
'global_time':2.769583, 'head_position_x':-0.1224951, 'head_position_y':1.101806, 'head_position_z':-0.5612199
'global_time':2.786272, 'head_position_x':-0.1226763, 'head_position_y':1.101875, 'head_position_z':-0.5610868
'global_time':2.79606, 'head_position_x':-0.1228262, 'head_position_y':1.101982, 'head_position_z':-0.5609841
'global_time':2.807646, 'head_position_x':-0.1228441, 'head_position_y':1.101995, 'head_position_z':-0.5610307
'global_time':2.81948, 'head_position_x':-0.1229137, 'head_position_y':1.101988, 'head_position_z':-0.560957
'global_time':2.830379, 'head_position_x':-0.1228822, 'head_position_y':1.101981, 'head_position_z':-0.5609818
'global_time':2.841332, 'head_position_x':-0.1228916, 'head_position_y':1.10194, 'head_position_z':-0.5610383
'global_time':2.851257, 'head_position_x':-0.1228952, 'head_position_y':1.101946, 'head_position_z':-0.561032
'global_time':2.861957, 'head_position_x':-0.1229716, 'head_position_y':1.101993, 'head_position_z':-0.5610134
'global_time':2.874066, 'head_position_x':-0.1229569, 'head_position_y':1.102003, 'head_position_z':-0.5610541
'global_time':2.885016, 'head_position_x':-0.1229576, 'head_position_y':1.102039, 'head_position_z':-0.5610439
'global_time':2.896283, 'head_position_x':-0.1229883, 'head_position_y':1.102046, 'head_position_z':-0.5609794
'global_time':2.905972, 'head_position_x':-0.1229974, 'head_position_y':1.10204, 'head_position_z':-0.5609487
