'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.47201, 'gaze_vector_x':0.3539968, 'gaze_vector_y':0.04148683, 'gaze_vector_z':0.9343128
'gaze_vector':1.485597, 'gaze_vector_x':0.3618362, 'gaze_vector_y':0.03847648, 'gaze_vector_z':0.931443
'gaze_vector':1.497178, 'gaze_vector_x':0.3707671, 'gaze_vector_y':0.03665101, 'gaze_vector_z':0.9279872
'gaze_vector':1.510767, 'gaze_vector_x':0.3847916, 'gaze_vector_y':0.03313376, 'gaze_vector_z':0.9223935
'gaze_vector':1.525714, 'gaze_vector_x':0.3912293, 'gaze_vector_y':0.03307059, 'gaze_vector_z':0.9196912
'gaze_vector':1.537439, 'gaze_vector_x':0.397039, 'gaze_vector_y':0.03162844, 'gaze_vector_z':0.9172439
'gaze_vector':1.550744, 'gaze_vector_x':0.4023615, 'gaze_vector_y':0.03283316, 'gaze_vector_z':0.9148763
'gaze_vector':1.564443, 'gaze_vector_x':0.4078136, 'gaze_vector_y':0.03250663, 'gaze_vector_z':0.9124796
'gaze_vector':1.579824, 'gaze_vector_x':0.4170578, 'gaze_vector_y':0.03064425, 'gaze_vector_z':0.9083604
'gaze_vector':1.591898, 'gaze_vector_x':0.4203514, 'gaze_vector_y':0.03489627, 'gaze_vector_z':0.9066793
'gaze_vector':1.606772, 'gaze_vector_x':0.4221114, 'gaze_vector_y':0.0410971, 'gaze_vector_z':0.9055986
'gaze_vector':1.626019, 'gaze_vector_x':0.4264329, 'gaze_vector_y':0.04081517, 'gaze_vector_z':0.9035954
'gaze_vector':1.640467, 'gaze_vector_x':0.4288592, 'gaze_vector_y':0.04181133, 'gaze_vector_z':0.9023986
'gaze_vector':1.651693, 'gaze_vector_x':0.4308509, 'gaze_vector_y':0.04035948, 'gaze_vector_z':0.9015108
'gaze_vector':1.663887, 'gaze_vector_x':0.432622, 'gaze_vector_y':0.04192271, 'gaze_vector_z':0.9005895
'gaze_vector':1.677073, 'gaze_vector_x':0.437512, 'gaze_vector_y':0.04360192, 'gaze_vector_z':0.8981475
'gaze_vector':1.688931, 'gaze_vector_x':0.4407377, 'gaze_vector_y':0.04286355, 'gaze_vector_z':0.8966092
'gaze_vector':1.701279, 'gaze_vector_x':0.4452025, 'gaze_vector_y':0.04337631, 'gaze_vector_z':0.8943669
'gaze_vector':1.713326, 'gaze_vector_x':0.4522974, 'gaze_vector_y':0.0442379, 'gaze_vector_z':0.8907571
'gaze_vector':1.728026, 'gaze_vector_x':0.4551066, 'gaze_vector_y':0.04028974, 'gaze_vector_z':0.8895171
'gaze_vector':1.73999, 'gaze_vector_x':0.4566568, 'gaze_vector_y':0.04045842, 'gaze_vector_z':0.8887092
'gaze_vector':1.751985, 'gaze_vector_x':0.4601454, 'gaze_vector_y':0.04060905, 'gaze_vector_z':0.8868989
'gaze_vector':1.763794, 'gaze_vector_x':0.4633471, 'gaze_vector_y':0.04064788, 'gaze_vector_z':0.8852412
'gaze_vector':1.774101, 'gaze_vector_x':0.4651179, 'gaze_vector_y':0.0396423, 'gaze_vector_z':0.8843574
'gaze_vector':1.785514, 'gaze_vector_x':0.4673291, 'gaze_vector_y':0.0399312, 'gaze_vector_z':0.8831729
'gaze_vector':1.797199, 'gaze_vector_x':0.4693596, 'gaze_vector_y':0.04028361, 'gaze_vector_z':0.8820745
'gaze_vector':1.809589, 'gaze_vector_x':0.4756588, 'gaze_vector_y':0.0406457, 'gaze_vector_z':0.8786763
'gaze_vector':1.822186, 'gaze_vector_x':0.4782965, 'gaze_vector_y':0.04364534, 'gaze_vector_z':0.8771005
'gaze_vector':1.834526, 'gaze_vector_x':0.4650405, 'gaze_vector_y':0.04572459, 'gaze_vector_z':0.884106
'gaze_vector':1.847433, 'gaze_vector_x':0.4683974, 'gaze_vector_y':0.04605434, 'gaze_vector_z':0.8823044
'gaze_vector':1.859878, 'gaze_vector_x':0.4688964, 'gaze_vector_y':0.05383986, 'gaze_vector_z':0.8816075
'gaze_vector':1.871615, 'gaze_vector_x':0.4672819, 'gaze_vector_y':0.04788111, 'gaze_vector_z':0.8828098
'gaze_vector':1.88361, 'gaze_vector_x':0.4651028, 'gaze_vector_y':0.05927069, 'gaze_vector_z':0.8832626
'gaze_vector':1.901552, 'gaze_vector_x':0.4520804, 'gaze_vector_y':0.06242013, 'gaze_vector_z':0.8897814
'gaze_vector':1.914479, 'gaze_vector_x':0.4353549, 'gaze_vector_y':0.06022543, 'gaze_vector_z':0.8982354
'gaze_vector':1.926342, 'gaze_vector_x':0.4231037, 'gaze_vector_y':0.07082732, 'gaze_vector_z':0.9033009
'gaze_vector':1.943177, 'gaze_vector_x':0.4130501, 'gaze_vector_y':0.07124804, 'gaze_vector_z':0.9079085
'gaze_vector':1.954184, 'gaze_vector_x':0.4022024, 'gaze_vector_y':0.05318951, 'gaze_vector_z':0.9139963
'gaze_vector':1.9664, 'gaze_vector_x':0.380401, 'gaze_vector_y':0.0686347, 'gaze_vector_z':0.9222605
'gaze_vector':1.978928, 'gaze_vector_x':0.3520684, 'gaze_vector_y':0.0728763, 'gaze_vector_z':0.9331184
'gaze_vector':2.312261, 'gaze_vector_x':0.4890497, 'gaze_vector_y':0.05015185, 'gaze_vector_z':0.8708081
'gaze_vector':2.332003, 'gaze_vector_x':0.2460246, 'gaze_vector_y':0.03247797, 'gaze_vector_z':0.9687157
'gaze_vector':2.3451, 'gaze_vector_x':0.2448835, 'gaze_vector_y':0.03372152, 'gaze_vector_z':0.968955
'gaze_vector':2.359618, 'gaze_vector_x':0.244259, 'gaze_vector_y':0.03343239, 'gaze_vector_z':0.9691212
'gaze_vector':2.372098, 'gaze_vector_x':0.2440804, 'gaze_vector_y':0.03341002, 'gaze_vector_z':0.9691617
'gaze_vector':2.386035, 'gaze_vector_x':0.2479062, 'gaze_vector_y':0.0312897, 'gaze_vector_z':0.9682696
'gaze_vector':2.400433, 'gaze_vector_x':0.2344864, 'gaze_vector_y':0.01535621, 'gaze_vector_z':0.9719926
'gaze_vector':2.4137, 'gaze_vector_x':0.2320062, 'gaze_vector_y':0.01034812, 'gaze_vector_z':0.9726557
'gaze_vector':2.426999, 'gaze_vector_x':0.2378677, 'gaze_vector_y':0.00545533, 'gaze_vector_z':0.9712684
'gaze_vector':2.439927, 'gaze_vector_x':0.2382484, 'gaze_vector_y':0.006904669, 'gaze_vector_z':0.9711645
'gaze_vector':2.453702, 'gaze_vector_x':0.2396365, 'gaze_vector_y':0.006007895, 'gaze_vector_z':0.9708295
'gaze_vector':2.468875, 'gaze_vector_x':0.2400504, 'gaze_vector_y':0.007498033, 'gaze_vector_z':0.9707241
'gaze_vector':2.481074, 'gaze_vector_x':0.2391833, 'gaze_vector_y':0.007784232, 'gaze_vector_z':0.9709361
'gaze_vector':2.495147, 'gaze_vector_x':0.2383202, 'gaze_vector_y':0.008269459, 'gaze_vector_z':0.971139
'gaze_vector':2.507171, 'gaze_vector_x':0.2377963, 'gaze_vector_y':0.007674739, 'gaze_vector_z':0.9712781
'gaze_vector':2.518079, 'gaze_vector_x':0.2373212, 'gaze_vector_y':0.006545015, 'gaze_vector_z':0.9714041
'gaze_vector':2.531839, 'gaze_vector_x':0.235683, 'gaze_vector_y':0.002871364, 'gaze_vector_z':0.9718211
'gaze_vector':2.548068, 'gaze_vector_x':0.232544, 'gaze_vector_y':0.005871385, 'gaze_vector_z':0.9725535
