'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':2.481074, 'head_position_x':0.2614438, 'head_position_y':1.731486, 'head_position_z':-0.5597113
'global_time':2.495147, 'head_position_x':0.26168, 'head_position_y':1.731484, 'head_position_z':-0.5596895
'global_time':2.507171, 'head_position_x':0.26175, 'head_position_y':1.731523, 'head_position_z':-0.5596802
'global_time':2.518079, 'head_position_x':0.261703, 'head_position_y':1.731519, 'head_position_z':-0.5598433
'global_time':2.531839, 'head_position_x':0.2618342, 'head_position_y':1.73155, 'head_position_z':-0.5598558
'global_time':2.548068, 'head_position_x':0.2618576, 'head_position_y':1.731588, 'head_position_z':-0.5598233
'global_time':2.559549, 'head_position_x':0.2617345, 'head_position_y':1.731618, 'head_position_z':-0.559863
'global_time':2.571451, 'head_position_x':0.2617806, 'head_position_y':1.731622, 'head_position_z':-0.5597467
'global_time':2.585217, 'head_position_x':0.2616609, 'head_position_y':1.731871, 'head_position_z':-0.559561
'global_time':2.598548, 'head_position_x':0.2615651, 'head_position_y':1.732019, 'head_position_z':-0.5594497
'global_time':2.60924, 'head_position_x':0.2615811, 'head_position_y':1.732159, 'head_position_z':-0.559275
'global_time':2.619335, 'head_position_x':0.2613836, 'head_position_y':1.732294, 'head_position_z':-0.559138
'global_time':2.633547, 'head_position_x':0.2610259, 'head_position_y':1.73244, 'head_position_z':-0.5591957
'global_time':2.646773, 'head_position_x':0.2606043, 'head_position_y':1.732612, 'head_position_z':-0.559058
'global_time':2.658049, 'head_position_x':0.2601736, 'head_position_y':1.732758, 'head_position_z':-0.558789
'global_time':2.669152, 'head_position_x':0.2596171, 'head_position_y':1.732859, 'head_position_z':-0.5586457
'global_time':2.682666, 'head_position_x':0.2589073, 'head_position_y':1.732979, 'head_position_z':-0.5585108
'global_time':2.694611, 'head_position_x':0.2578307, 'head_position_y':1.733132, 'head_position_z':-0.5583285
'global_time':2.706052, 'head_position_x':0.2571332, 'head_position_y':1.733196, 'head_position_z':-0.5583722
'global_time':2.719951, 'head_position_x':0.2564996, 'head_position_y':1.733247, 'head_position_z':-0.5582384
'global_time':2.730805, 'head_position_x':0.2559363, 'head_position_y':1.733278, 'head_position_z':-0.5580515
