'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.766813, 'head_vector_x':0.1262754, 'head_vector_y':0.05995351, 'head_vector_z':0.9901819
'global_time':1.777259, 'head_vector_x':0.1177202, 'head_vector_y':0.05961504, 'head_vector_z':0.9912558
'global_time':1.789807, 'head_vector_x':0.1092928, 'head_vector_y':0.05926732, 'head_vector_z':0.9922411
'global_time':1.800197, 'head_vector_x':0.1011155, 'head_vector_y':0.05867761, 'head_vector_z':0.9931428
'global_time':1.810739, 'head_vector_x':0.09339011, 'head_vector_y':0.05776174, 'head_vector_z':0.9939526
'global_time':1.822231, 'head_vector_x':0.08597331, 'head_vector_y':0.05672983, 'head_vector_z':0.994681
'global_time':1.833803, 'head_vector_x':0.07888351, 'head_vector_y':0.05570753, 'head_vector_z':0.9953261
'global_time':1.844226, 'head_vector_x':0.07210661, 'head_vector_y':0.05435275, 'head_vector_z':0.9959149
'global_time':1.855317, 'head_vector_x':0.06550951, 'head_vector_y':0.05320007, 'head_vector_z':0.9964328
'global_time':1.868728, 'head_vector_x':0.05939731, 'head_vector_y':0.05195383, 'head_vector_z':0.9968815
'global_time':1.881437, 'head_vector_x':0.04825768, 'head_vector_y':0.05002144, 'head_vector_z':0.9975816
'global_time':1.892085, 'head_vector_x':0.04335252, 'head_vector_y':0.04920948, 'head_vector_z':0.9978472
'global_time':1.902936, 'head_vector_x':0.03861045, 'head_vector_y':0.04852375, 'head_vector_z':0.9980755
'global_time':1.915523, 'head_vector_x':0.0347122, 'head_vector_y':0.04755335, 'head_vector_z':0.9982654
'global_time':1.92596, 'head_vector_x':0.03071077, 'head_vector_y':0.04683679, 'head_vector_z':0.9984304
'global_time':1.937822, 'head_vector_x':0.02751093, 'head_vector_y':0.04633053, 'head_vector_z':0.9985473
'global_time':1.950422, 'head_vector_x':0.02465083, 'head_vector_y':0.04593179, 'head_vector_z':0.9986404
'global_time':1.961315, 'head_vector_x':0.02186523, 'head_vector_y':0.04584353, 'head_vector_z':0.9987093
'global_time':1.973323, 'head_vector_x':0.01930937, 'head_vector_y':0.04634718, 'head_vector_z':0.9987388
'global_time':1.984026, 'head_vector_x':0.01713098, 'head_vector_y':0.04639366, 'head_vector_z':0.9987763
'global_time':1.995883, 'head_vector_x':0.01500749, 'head_vector_y':0.0467397, 'head_vector_z':0.9987944
'global_time':2.007457, 'head_vector_x':0.01323956, 'head_vector_y':0.04693706, 'head_vector_z':0.9988101
'global_time':2.018766, 'head_vector_x':0.01148702, 'head_vector_y':0.04706455, 'head_vector_z':0.9988258
'global_time':2.030792, 'head_vector_x':0.01018181, 'head_vector_y':0.04744348, 'head_vector_z':0.998822
'global_time':2.042633, 'head_vector_x':0.008955644, 'head_vector_y':0.04765715, 'head_vector_z':0.9988236
'global_time':2.05335, 'head_vector_x':0.007726138, 'head_vector_y':0.04835693, 'head_vector_z':0.9988002
'global_time':2.065118, 'head_vector_x':0.006991999, 'head_vector_y':0.04914172, 'head_vector_z':0.9987673
'global_time':2.075627, 'head_vector_x':0.005892463, 'head_vector_y':0.05002238, 'head_vector_z':0.9987307
'global_time':2.087342, 'head_vector_x':0.005083275, 'head_vector_y':0.05101529, 'head_vector_z':0.9986849
'global_time':2.097937, 'head_vector_x':0.004247414, 'head_vector_y':0.05238253, 'head_vector_z':0.9986181
'global_time':2.110155, 'head_vector_x':0.003576909, 'head_vector_y':0.05360679, 'head_vector_z':0.9985557
'global_time':2.122605, 'head_vector_x':0.003024291, 'head_vector_y':0.05469725, 'head_vector_z':0.9984984
'global_time':2.135352, 'head_vector_x':0.002359853, 'head_vector_y':0.05623029, 'head_vector_z':0.9984151
'global_time':2.146546, 'head_vector_x':0.001823251, 'head_vector_y':0.05761264, 'head_vector_z':0.9983373
'global_time':2.160934, 'head_vector_x':0.0007419421, 'head_vector_y':0.05970798, 'head_vector_z':0.9982156
'global_time':2.172444, 'head_vector_x':0.0004362273, 'head_vector_y':0.06054085, 'head_vector_z':0.9981656
'global_time':2.182896, 'head_vector_x':-6.073527E-05, 'head_vector_y':0.06152997, 'head_vector_z':0.9981052
'global_time':2.192669, 'head_vector_x':-0.0001203532, 'head_vector_y':0.0623966, 'head_vector_z':0.9980514
'global_time':2.203556, 'head_vector_x':-0.0004275673, 'head_vector_y':0.06318387, 'head_vector_z':0.9980018
'global_time':2.214861, 'head_vector_x':-0.0005263083, 'head_vector_y':0.06398857, 'head_vector_z':0.9979505
'global_time':2.225738, 'head_vector_x':-0.001057463, 'head_vector_y':0.06437252, 'head_vector_z':0.9979254
'global_time':2.235958, 'head_vector_x':-0.001283579, 'head_vector_y':0.06477333, 'head_vector_z':0.9978992
'global_time':2.247505, 'head_vector_x':-0.001656242, 'head_vector_y':0.06513982, 'head_vector_z':0.9978748
'global_time':2.25877, 'head_vector_x':-0.002127627, 'head_vector_y':0.06539516, 'head_vector_z':0.9978572
'global_time':2.270395, 'head_vector_x':-0.002508525, 'head_vector_y':0.0657402, 'head_vector_z':0.9978336
'global_time':2.28193, 'head_vector_x':-0.002829305, 'head_vector_y':0.06603359, 'head_vector_z':0.9978134
'global_time':2.29641, 'head_vector_x':-0.003223457, 'head_vector_y':0.06621219, 'head_vector_z':0.9978004
'global_time':2.308852, 'head_vector_x':-0.003433151, 'head_vector_y':0.06658071, 'head_vector_z':0.9977751
'global_time':2.320865, 'head_vector_x':-0.003799123, 'head_vector_y':0.06688498, 'head_vector_z':0.9977534
'global_time':2.332816, 'head_vector_x':-0.004348262, 'head_vector_y':0.06701627, 'head_vector_z':0.9977424
'global_time':2.34161, 'head_vector_x':-0.004868497, 'head_vector_y':0.06736872, 'head_vector_z':0.9977162
'global_time':2.351944, 'head_vector_x':-0.005583351, 'head_vector_y':0.06749447, 'head_vector_z':0.997704
'global_time':2.363231, 'head_vector_x':-0.006178831, 'head_vector_y':0.06780438, 'head_vector_z':0.9976795
'global_time':2.696564, 'head_vector_x':-0.006806168, 'head_vector_y':0.06830037, 'head_vector_z':0.9976416
'global_time':2.718064, 'head_vector_x':-0.06572858, 'head_vector_y':0.04907164, 'head_vector_z':0.9966302
'global_time':2.732883, 'head_vector_x':-0.06575583, 'head_vector_y':0.04853591, 'head_vector_z':0.9966546
'global_time':2.745288, 'head_vector_x':-0.06592181, 'head_vector_y':0.048962, 'head_vector_z':0.9966228
'global_time':2.755591, 'head_vector_x':-0.06586717, 'head_vector_y':0.04912082, 'head_vector_z':0.9966186
'global_time':2.768266, 'head_vector_x':-0.06590013, 'head_vector_y':0.05017139, 'head_vector_z':0.9965641
'global_time':2.783065, 'head_vector_x':-0.0659636, 'head_vector_y':0.05195642, 'head_vector_z':0.9964684
'global_time':2.794496, 'head_vector_x':-0.06558163, 'head_vector_y':0.052903, 'head_vector_z':0.9964438
'global_time':2.806608, 'head_vector_x':-0.06568042, 'head_vector_y':0.05408303, 'head_vector_z':0.996374
'global_time':2.818945, 'head_vector_x':-0.06527767, 'head_vector_y':0.0553767, 'head_vector_z':0.9963294
'global_time':2.832352, 'head_vector_x':-0.06508659, 'head_vector_y':0.05651812, 'head_vector_z':0.9962778
'global_time':2.845708, 'head_vector_x':-0.0647976, 'head_vector_y':0.0575197, 'head_vector_z':0.9962393
'global_time':2.856935, 'head_vector_x':-0.06478075, 'head_vector_y':0.05818435, 'head_vector_z':0.9962018
'global_time':2.867529, 'head_vector_x':-0.0646471, 'head_vector_y':0.05881324, 'head_vector_z':0.9961736
'global_time':2.880606, 'head_vector_x':-0.06428204, 'head_vector_y':0.05964624, 'head_vector_z':0.9961476
'global_time':2.894416, 'head_vector_x':-0.06394286, 'head_vector_y':0.05981878, 'head_vector_z':0.9961591
'global_time':2.907245, 'head_vector_x':-0.06392427, 'head_vector_y':0.05959015, 'head_vector_z':0.996174
'global_time':2.919223, 'head_vector_x':-0.06363512, 'head_vector_y':0.05920308, 'head_vector_z':0.9962156
'global_time':2.933026, 'head_vector_x':-0.06339994, 'head_vector_y':0.05893843, 'head_vector_z':0.9962463
'global_time':2.944686, 'head_vector_x':-0.06341585, 'head_vector_y':0.05875047, 'head_vector_z':0.9962564
'global_time':2.956969, 'head_vector_x':-0.06323447, 'head_vector_y':0.05839276, 'head_vector_z':0.996289
'global_time':2.969439, 'head_vector_x':-0.06325438, 'head_vector_y':0.05811946, 'head_vector_z':0.9963037
'global_time':2.982055, 'head_vector_x':-0.06318433, 'head_vector_y':0.05815135, 'head_vector_z':0.9963062
'global_time':2.995085, 'head_vector_x':-0.06304365, 'head_vector_y':0.05815161, 'head_vector_z':0.9963152
'global_time':3.005868, 'head_vector_x':-0.06287643, 'head_vector_y':0.05819558, 'head_vector_z':0.9963232
'global_time':3.01953, 'head_vector_x':-0.06289887, 'head_vector_y':0.05827415, 'head_vector_z':0.9963171
'global_time':3.030144, 'head_vector_x':-0.0626022, 'head_vector_y':0.05842251, 'head_vector_z':0.9963272
'global_time':3.040667, 'head_vector_x':-0.06258118, 'head_vector_y':0.05879655, 'head_vector_z':0.9963065
'global_time':3.052367, 'head_vector_x':-0.06252594, 'head_vector_y':0.05920221, 'head_vector_z':0.9962859
'global_time':3.065116, 'head_vector_x':-0.06247558, 'head_vector_y':0.05987952, 'head_vector_z':0.9962486
'global_time':3.077351, 'head_vector_x':-0.06232714, 'head_vector_y':0.06052344, 'head_vector_z':0.996219
'global_time':3.088546, 'head_vector_x':-0.06211741, 'head_vector_y':0.06138803, 'head_vector_z':0.9961792
'global_time':3.099437, 'head_vector_x':-0.06208614, 'head_vector_y':0.06217165, 'head_vector_z':0.9961325
'global_time':3.110953, 'head_vector_x':-0.06198451, 'head_vector_y':0.06326996, 'head_vector_z':0.9960697
'global_time':3.122723, 'head_vector_x':-0.06191003, 'head_vector_y':0.0643195, 'head_vector_z':0.9960071
'global_time':3.13493, 'head_vector_x':-0.06191772, 'head_vector_y':0.06646036, 'head_vector_z':0.9958661
'global_time':3.145605, 'head_vector_x':-0.06209468, 'head_vector_y':0.06774177, 'head_vector_z':0.9957687
'global_time':3.158098, 'head_vector_x':-0.06262214, 'head_vector_y':0.06891388, 'head_vector_z':0.9956552
'global_time':3.170434, 'head_vector_x':-0.06284804, 'head_vector_y':0.06996545, 'head_vector_z':0.9955677
'global_time':3.180748, 'head_vector_x':-0.06329626, 'head_vector_y':0.07122688, 'head_vector_z':0.9954498
'global_time':3.192225, 'head_vector_x':-0.0639114, 'head_vector_y':0.07219949, 'head_vector_z':0.9953404
'global_time':3.203689, 'head_vector_x':-0.06444308, 'head_vector_y':0.07324224, 'head_vector_z':0.99523
'global_time':3.215487, 'head_vector_x':-0.06495983, 'head_vector_y':0.07395136, 'head_vector_z':0.9951439
'global_time':3.227424, 'head_vector_x':-0.06525698, 'head_vector_y':0.07432987, 'head_vector_z':0.9950963
'global_time':3.239126, 'head_vector_x':-0.06582105, 'head_vector_y':0.07447181, 'head_vector_z':0.9950485
'global_time':3.250437, 'head_vector_x':-0.06639542, 'head_vector_y':0.07445001, 'head_vector_z':0.995012
'global_time':3.26403, 'head_vector_x':-0.06695888, 'head_vector_y':0.07419461, 'head_vector_z':0.9949933
'global_time':3.276175, 'head_vector_x':-0.06752498, 'head_vector_y':0.07392383, 'head_vector_z':0.9949752
'global_time':3.288955, 'head_vector_x':-0.06785554, 'head_vector_y':0.07353812, 'head_vector_z':0.9949813
'global_time':3.300503, 'head_vector_x':-0.06825401, 'head_vector_y':0.07321215, 'head_vector_z':0.9949781
'global_time':3.314587, 'head_vector_x':-0.06872924, 'head_vector_y':0.07298346, 'head_vector_z':0.9949622
'global_time':3.326444, 'head_vector_x':-0.0688538, 'head_vector_y':0.07309465, 'head_vector_z':0.9949454
'global_time':3.337168, 'head_vector_x':-0.06897993, 'head_vector_y':0.07308551, 'head_vector_z':0.9949373
'global_time':3.349142, 'head_vector_x':-0.06930951, 'head_vector_y':0.07328866, 'head_vector_z':0.9948995
'global_time':3.361665, 'head_vector_x':-0.06970993, 'head_vector_y':0.07370274, 'head_vector_z':0.9948409
'global_time':3.376211, 'head_vector_x':-0.070071, 'head_vector_y':0.07408894, 'head_vector_z':0.9947869
'global_time':3.387676, 'head_vector_x':-0.07056099, 'head_vector_y':0.0747223, 'head_vector_z':0.9947048
'global_time':3.39902, 'head_vector_x':-0.07122569, 'head_vector_y':0.07543524, 'head_vector_z':0.9946036
'global_time':3.412241, 'head_vector_x':-0.07210196, 'head_vector_y':0.07588238, 'head_vector_z':0.9945065
'global_time':3.4226, 'head_vector_x':-0.0730308, 'head_vector_y':0.07655876, 'head_vector_z':0.9943869
'global_time':3.435737, 'head_vector_x':-0.07465772, 'head_vector_y':0.07787888, 'head_vector_z':0.9941635
'global_time':3.447467, 'head_vector_x':-0.07555917, 'head_vector_y':0.07843941, 'head_vector_z':0.9940513
'global_time':3.458741, 'head_vector_x':-0.07650273, 'head_vector_y':0.07895739, 'head_vector_z':0.9939381
'global_time':3.470847, 'head_vector_x':-0.07745448, 'head_vector_y':0.07933298, 'head_vector_z':0.9938346
'global_time':3.482528, 'head_vector_x':-0.07858165, 'head_vector_y':0.08014765, 'head_vector_z':0.9936807
'global_time':3.493951, 'head_vector_x':-0.07939081, 'head_vector_y':0.08045139, 'head_vector_z':0.9935918
'global_time':3.505731, 'head_vector_x':-0.08034227, 'head_vector_y':0.08085945, 'head_vector_z':0.9934822
'global_time':3.515299, 'head_vector_x':-0.08113427, 'head_vector_y':0.08104917, 'head_vector_z':0.9934024
'global_time':3.526479, 'head_vector_x':-0.08184982, 'head_vector_y':0.08122446, 'head_vector_z':0.9933293
'global_time':3.537259, 'head_vector_x':-0.0827008, 'head_vector_y':0.08135916, 'head_vector_z':0.9932479
'global_time':3.55141, 'head_vector_x':-0.08322535, 'head_vector_y':0.08152267, 'head_vector_z':0.9931906
'global_time':3.563362, 'head_vector_x':-0.08402413, 'head_vector_y':0.08160865, 'head_vector_z':0.9931163
