'global_time':4.685543, 'center_x':-3.699997, 'center_y':2, 'center_z':6, 'gaze_x':-3.727444, 'gaze_y':2.119173, 'gaze_z':5.994913
'global_time':4.697435, 'center_x':-3.799997, 'center_y':2, 'center_z':6, 'gaze_x':-3.784045, 'gaze_y':2.094914, 'gaze_z':5.994946
'global_time':4.709926, 'center_x':-3.899997, 'center_y':2, 'center_z':6, 'gaze_x':-3.842922, 'gaze_y':2.163968, 'gaze_z':5.994941
'global_time':4.722445, 'center_x':-3.999997, 'center_y':2, 'center_z':6, 'gaze_x':-3.824017, 'gaze_y':2.206995, 'gaze_z':5.995034
'global_time':4.734862, 'center_x':-3.899997, 'center_y':2, 'center_z':6, 'gaze_x':-3.834047, 'gaze_y':2.208169, 'gaze_z':5.995123
'global_time':4.747392, 'center_x':-3.899997, 'center_y':2, 'center_z':6, 'gaze_x':-3.884875, 'gaze_y':2.192039, 'gaze_z':5.995159
'global_time':4.759002, 'center_x':-3.799997, 'center_y':2, 'center_z':6, 'gaze_x':-3.961094, 'gaze_y':2.178587, 'gaze_z':5.995201
'global_time':4.772716, 'center_x':-3.699997, 'center_y':2, 'center_z':6, 'gaze_x':-3.987232, 'gaze_y':2.163251, 'gaze_z':5.995227
'global_time':4.785997, 'center_x':-3.599997, 'center_y':2, 'center_z':6, 'gaze_x':-4.027796, 'gaze_y':2.158535, 'gaze_z':5.995264
'global_time':4.796224, 'center_x':-3.499997, 'center_y':2, 'center_z':6, 'gaze_x':-4.039408, 'gaze_y':2.150882, 'gaze_z':5.995285
'global_time':4.80922, 'center_x':-3.399997, 'center_y':2, 'center_z':6, 'gaze_x':-4.035272, 'gaze_y':2.151428, 'gaze_z':5.995381
'global_time':4.8226, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-4.038553, 'gaze_y':2.172309, 'gaze_z':5.995365
'global_time':4.836175, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-3.981066, 'gaze_y':2.167187, 'gaze_z':5.995399
'global_time':4.846286, 'center_x':-3.099998, 'center_y':2, 'center_z':6, 'gaze_x':-3.962893, 'gaze_y':2.169585, 'gaze_z':5.995447
'global_time':4.859478, 'center_x':-2.999998, 'center_y':2, 'center_z':6, 'gaze_x':-3.933677, 'gaze_y':2.187778, 'gaze_z':5.995452
'global_time':4.87208, 'center_x':-2.899998, 'center_y':2, 'center_z':6, 'gaze_x':-3.908583, 'gaze_y':2.193448, 'gaze_z':5.995404
'global_time':4.884387, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-3.891623, 'gaze_y':2.219267, 'gaze_z':5.995446
'global_time':4.897202, 'center_x':-2.699998, 'center_y':2, 'center_z':6, 'gaze_x':-3.862469, 'gaze_y':2.221916, 'gaze_z':5.995404
'global_time':4.909665, 'center_x':-2.599998, 'center_y':2, 'center_z':6, 'gaze_x':-3.761456, 'gaze_y':2.216424, 'gaze_z':5.995425
'global_time':4.922172, 'center_x':-2.499998, 'center_y':2, 'center_z':6, 'gaze_x':-3.662715, 'gaze_y':2.184316, 'gaze_z':5.995455
