'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':2.710131, 'head_position_x':0.04830366, 'head_position_y':1.102688, 'head_position_z':-0.6277201
'global_time':2.720727, 'head_position_x':0.04837152, 'head_position_y':1.102653, 'head_position_z':-0.6276336
'global_time':2.733295, 'head_position_x':0.04850168, 'head_position_y':1.102597, 'head_position_z':-0.6276499
'global_time':2.742814, 'head_position_x':0.04857336, 'head_position_y':1.102668, 'head_position_z':-0.6275827
'global_time':2.752406, 'head_position_x':0.04880705, 'head_position_y':1.102631, 'head_position_z':-0.6277525
'global_time':2.763162, 'head_position_x':0.048929, 'head_position_y':1.102623, 'head_position_z':-0.6277581
'global_time':2.774848, 'head_position_x':0.04895241, 'head_position_y':1.102624, 'head_position_z':-0.6277354
'global_time':2.78605, 'head_position_x':0.0490189, 'head_position_y':1.102599, 'head_position_z':-0.6276948
'global_time':2.79618, 'head_position_x':0.04895157, 'head_position_y':1.102607, 'head_position_z':-0.6276277
'global_time':2.807136, 'head_position_x':0.0489801, 'head_position_y':1.102572, 'head_position_z':-0.6276121
'global_time':2.817734, 'head_position_x':0.04898645, 'head_position_y':1.102524, 'head_position_z':-0.6275021
'global_time':2.83106, 'head_position_x':0.04910462, 'head_position_y':1.102381, 'head_position_z':-0.6274711
'global_time':2.845508, 'head_position_x':0.04927031, 'head_position_y':1.102212, 'head_position_z':-0.6274042
'global_time':2.856052, 'head_position_x':0.0492893, 'head_position_y':1.102194, 'head_position_z':-0.6274225
'global_time':2.867592, 'head_position_x':0.04935981, 'head_position_y':1.102183, 'head_position_z':-0.6274648
'global_time':2.878396, 'head_position_x':0.04935272, 'head_position_y':1.102154, 'head_position_z':-0.6274558
'global_time':2.889756, 'head_position_x':0.04940549, 'head_position_y':1.10213, 'head_position_z':-0.627461
'global_time':2.900064, 'head_position_x':0.04939359, 'head_position_y':1.102141, 'head_position_z':-0.6274495
'global_time':2.910573, 'head_position_x':0.04955853, 'head_position_y':1.102105, 'head_position_z':-0.6275533
'global_time':2.92173, 'head_position_x':0.0495834, 'head_position_y':1.10214, 'head_position_z':-0.6275699
'global_time':2.934383, 'head_position_x':0.04961998, 'head_position_y':1.102179, 'head_position_z':-0.6275968
'global_time':2.945198, 'head_position_x':0.04957284, 'head_position_y':1.102188, 'head_position_z':-0.6276268
'global_time':2.956611, 'head_position_x':0.04955658, 'head_position_y':1.102179, 'head_position_z':-0.6276796
