'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':1.800603, 'gaze_vector_x':-0.04928773, 'gaze_vector_y':0.3625444, 'gaze_vector_z':0.9306623
'gaze_vector':1.812987, 'gaze_vector_x':-0.05576411, 'gaze_vector_y':0.3651221, 'gaze_vector_z':0.929288
'gaze_vector':1.824436, 'gaze_vector_x':-0.06239332, 'gaze_vector_y':0.3665611, 'gaze_vector_z':0.9282995
'gaze_vector':1.835897, 'gaze_vector_x':-0.0693844, 'gaze_vector_y':0.3683132, 'gaze_vector_z':0.9271091
'gaze_vector':1.847616, 'gaze_vector_x':-0.07636222, 'gaze_vector_y':0.3698356, 'gaze_vector_z':0.9259538
'gaze_vector':1.860321, 'gaze_vector_x':-0.08370322, 'gaze_vector_y':0.3718124, 'gaze_vector_z':0.9245266
'gaze_vector':1.872667, 'gaze_vector_x':-0.090748, 'gaze_vector_y':0.3741462, 'gaze_vector_z':0.922919
'gaze_vector':1.884914, 'gaze_vector_x':-0.09784461, 'gaze_vector_y':0.3774431, 'gaze_vector_z':0.9208491
'gaze_vector':1.895543, 'gaze_vector_x':-0.1049954, 'gaze_vector_y':0.3810188, 'gaze_vector_z':0.9185863
'gaze_vector':1.90915, 'gaze_vector_x':-0.112803, 'gaze_vector_y':0.3845611, 'gaze_vector_z':0.9161813
'gaze_vector':1.920712, 'gaze_vector_x':-0.1212116, 'gaze_vector_y':0.3875546, 'gaze_vector_z':0.9138431
'gaze_vector':1.93271, 'gaze_vector_x':-0.1387032, 'gaze_vector_y':0.3890106, 'gaze_vector_z':0.9107317
'gaze_vector':1.943814, 'gaze_vector_x':-0.1470664, 'gaze_vector_y':0.3867848, 'gaze_vector_z':0.9103675
'gaze_vector':1.955584, 'gaze_vector_x':-0.1548185, 'gaze_vector_y':0.3817735, 'gaze_vector_z':0.9111971
'gaze_vector':1.965982, 'gaze_vector_x':-0.1626562, 'gaze_vector_y':0.3749338, 'gaze_vector_z':0.9126706
'gaze_vector':1.977295, 'gaze_vector_x':-0.1705693, 'gaze_vector_y':0.3662889, 'gaze_vector_z':0.9147341
'gaze_vector':1.989049, 'gaze_vector_x':-0.1776355, 'gaze_vector_y':0.3560216, 'gaze_vector_z':0.917439
'gaze_vector':2.001275, 'gaze_vector_x':-0.1854856, 'gaze_vector_y':0.3462443, 'gaze_vector_z':0.9196249
'gaze_vector':2.012167, 'gaze_vector_x':-0.1914075, 'gaze_vector_y':0.3354329, 'gaze_vector_z':0.9224142
'gaze_vector':2.023329, 'gaze_vector_x':-0.1975354, 'gaze_vector_y':0.3248804, 'gaze_vector_z':0.9248959
'gaze_vector':2.034516, 'gaze_vector_x':-0.2024128, 'gaze_vector_y':0.3133142, 'gaze_vector_z':0.9278272
'gaze_vector':2.049872, 'gaze_vector_x':-0.2070717, 'gaze_vector_y':0.301917, 'gaze_vector_z':0.9305737
'gaze_vector':2.06124, 'gaze_vector_x':-0.2103514, 'gaze_vector_y':0.2897875, 'gaze_vector_z':0.9336892
'gaze_vector':2.072942, 'gaze_vector_x':-0.2127773, 'gaze_vector_y':0.2769929, 'gaze_vector_z':0.937017
'gaze_vector':2.083602, 'gaze_vector_x':-0.2144839, 'gaze_vector_y':0.2633706, 'gaze_vector_z':0.9405491
'gaze_vector':2.09511, 'gaze_vector_x':-0.2152057, 'gaze_vector_y':0.2483891, 'gaze_vector_z':0.9444519
'gaze_vector':2.106604, 'gaze_vector_x':-0.2159988, 'gaze_vector_y':0.2329561, 'gaze_vector_z':0.9481962
'gaze_vector':2.118569, 'gaze_vector_x':-0.216408, 'gaze_vector_y':0.2175592, 'gaze_vector_z':0.9517539
'gaze_vector':2.129701, 'gaze_vector_x':-0.2164076, 'gaze_vector_y':0.2021257, 'gaze_vector_z':0.9551507
'gaze_vector':2.140954, 'gaze_vector_x':-0.2156897, 'gaze_vector_y':0.1864189, 'gaze_vector_z':0.9585019
'gaze_vector':2.151866, 'gaze_vector_x':-0.2149045, 'gaze_vector_y':0.1704834, 'gaze_vector_z':0.96164
'gaze_vector':2.161107, 'gaze_vector_x':-0.2135424, 'gaze_vector_y':0.1538241, 'gaze_vector_z':0.9647475
'gaze_vector':2.171724, 'gaze_vector_x':-0.2117951, 'gaze_vector_y':0.1359135, 'gaze_vector_z':0.9678173
'gaze_vector':2.183656, 'gaze_vector_x':-0.2100303, 'gaze_vector_y':0.1172907, 'gaze_vector_z':0.9706339
'gaze_vector':2.195266, 'gaze_vector_x':-0.2076156, 'gaze_vector_y':0.09803388, 'gaze_vector_z':0.9732857
'gaze_vector':2.207605, 'gaze_vector_x':-0.204857, 'gaze_vector_y':0.07749233, 'gaze_vector_z':0.9757195
'gaze_vector':2.218139, 'gaze_vector_x':-0.2016465, 'gaze_vector_y':0.0564235, 'gaze_vector_z':0.9778318
'gaze_vector':2.226678, 'gaze_vector_x':-0.1986391, 'gaze_vector_y':0.03464747, 'gaze_vector_z':0.9794601
'gaze_vector':2.237785, 'gaze_vector_x':-0.1951424, 'gaze_vector_y':0.01360736, 'gaze_vector_z':0.9806805
