'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':2.09755, 'head_position_x':0.09327921, 'head_position_y':0.9817514, 'head_position_z':-0.3869074
'global_time':2.108011, 'head_position_x':0.0932875, 'head_position_y':0.9819741, 'head_position_z':-0.3870392
'global_time':2.118118, 'head_position_x':0.09329927, 'head_position_y':0.9822844, 'head_position_z':-0.3871215
'global_time':2.128946, 'head_position_x':0.09330595, 'head_position_y':0.9825183, 'head_position_z':-0.3871251
'global_time':2.138619, 'head_position_x':0.09327386, 'head_position_y':0.9828746, 'head_position_z':-0.3871618
'global_time':2.148926, 'head_position_x':0.0932834, 'head_position_y':0.9831288, 'head_position_z':-0.3871757
'global_time':2.160157, 'head_position_x':0.09326889, 'head_position_y':0.9835164, 'head_position_z':-0.3872531
'global_time':2.172306, 'head_position_x':0.09322402, 'head_position_y':0.9839206, 'head_position_z':-0.3873025
'global_time':2.183944, 'head_position_x':0.09318268, 'head_position_y':0.9843226, 'head_position_z':-0.3872929
'global_time':2.19554, 'head_position_x':0.09315526, 'head_position_y':0.9847364, 'head_position_z':-0.3873307
'global_time':2.207869, 'head_position_x':0.09310698, 'head_position_y':0.9851884, 'head_position_z':-0.3873911
'global_time':2.219785, 'head_position_x':0.09306757, 'head_position_y':0.985568, 'head_position_z':-0.3874574
'global_time':2.231799, 'head_position_x':0.09305251, 'head_position_y':0.9855758, 'head_position_z':-0.3874842
'global_time':2.248515, 'head_position_x':0.09305564, 'head_position_y':0.9862378, 'head_position_z':-0.3876376
'global_time':2.258789, 'head_position_x':0.09304038, 'head_position_y':0.9871233, 'head_position_z':-0.3880682
'global_time':2.273733, 'head_position_x':0.09305731, 'head_position_y':0.9875457, 'head_position_z':-0.3882627
'global_time':2.285881, 'head_position_x':0.09304726, 'head_position_y':0.9879571, 'head_position_z':-0.3884515
'global_time':2.297572, 'head_position_x':0.09304665, 'head_position_y':0.988304, 'head_position_z':-0.3885899
'global_time':2.308912, 'head_position_x':0.09307073, 'head_position_y':0.9887812, 'head_position_z':-0.3888376
'global_time':2.319737, 'head_position_x':0.09302815, 'head_position_y':0.9891552, 'head_position_z':-0.3890141
'global_time':2.33174, 'head_position_x':0.09297973, 'head_position_y':0.9894741, 'head_position_z':-0.3892168
'global_time':2.343583, 'head_position_x':0.09301025, 'head_position_y':0.989812, 'head_position_z':-0.3893962
'global_time':2.354609, 'head_position_x':0.09302184, 'head_position_y':0.9900585, 'head_position_z':-0.3896181
'global_time':2.365683, 'head_position_x':0.09306874, 'head_position_y':0.9903351, 'head_position_z':-0.3898745
'global_time':2.377943, 'head_position_x':0.09307989, 'head_position_y':0.9905291, 'head_position_z':-0.3901985
'global_time':2.389159, 'head_position_x':0.09312463, 'head_position_y':0.9907421, 'head_position_z':-0.3904818
'global_time':2.404433, 'head_position_x':0.09314627, 'head_position_y':0.9909579, 'head_position_z':-0.390819
'global_time':2.414347, 'head_position_x':0.09311605, 'head_position_y':0.9912632, 'head_position_z':-0.3914949
'global_time':2.423524, 'head_position_x':0.09303589, 'head_position_y':0.991369, 'head_position_z':-0.391879
'global_time':2.435092, 'head_position_x':0.09300078, 'head_position_y':0.9915137, 'head_position_z':-0.392237
'global_time':2.445658, 'head_position_x':0.09309412, 'head_position_y':0.9915201, 'head_position_z':-0.3928086
'global_time':2.456845, 'head_position_x':0.09307712, 'head_position_y':0.9916171, 'head_position_z':-0.3931821
'global_time':2.46821, 'head_position_x':0.09299236, 'head_position_y':0.9917552, 'head_position_z':-0.3935599
'global_time':2.479894, 'head_position_x':0.09296499, 'head_position_y':0.991854, 'head_position_z':-0.3939407
'global_time':2.490086, 'head_position_x':0.09293683, 'head_position_y':0.9919665, 'head_position_z':-0.3942947
'global_time':2.502609, 'head_position_x':0.09296168, 'head_position_y':0.991991, 'head_position_z':-0.394686
'global_time':2.512116, 'head_position_x':0.09290098, 'head_position_y':0.9921083, 'head_position_z':-0.3950287
'global_time':2.523176, 'head_position_x':0.0928556, 'head_position_y':0.9921342, 'head_position_z':-0.3953451
'global_time':2.730795, 'head_position_x':0.09272975, 'head_position_y':0.9922296, 'head_position_z':-0.39564
'global_time':3.064128, 'head_position_x':0.08913719, 'head_position_y':0.9906646, 'head_position_z':-0.3994687
'global_time':3.085971, 'head_position_x':0.08079462, 'head_position_y':0.9952413, 'head_position_z':-0.394118
'global_time':3.098914, 'head_position_x':0.08070595, 'head_position_y':0.9952642, 'head_position_z':-0.3939616
'global_time':3.109335, 'head_position_x':0.08065024, 'head_position_y':0.9952347, 'head_position_z':-0.3939031
'global_time':3.123113, 'head_position_x':0.08060793, 'head_position_y':0.9952237, 'head_position_z':-0.393809
'global_time':3.134624, 'head_position_x':0.08047393, 'head_position_y':0.995329, 'head_position_z':-0.3936615
'global_time':3.145986, 'head_position_x':0.08040474, 'head_position_y':0.9953588, 'head_position_z':-0.3935266
'global_time':3.158396, 'head_position_x':0.08034672, 'head_position_y':0.9953856, 'head_position_z':-0.39337
'global_time':3.169063, 'head_position_x':0.0802145, 'head_position_y':0.9954152, 'head_position_z':-0.3931511
'global_time':3.181883, 'head_position_x':0.08011368, 'head_position_y':0.9954426, 'head_position_z':-0.3929883
'global_time':3.19293, 'head_position_x':0.08003716, 'head_position_y':0.9954847, 'head_position_z':-0.3928709
'global_time':3.209113, 'head_position_x':0.07992271, 'head_position_y':0.9955187, 'head_position_z':-0.3926884
'global_time':3.218532, 'head_position_x':0.07983755, 'head_position_y':0.9955658, 'head_position_z':-0.3925252
'global_time':3.236772, 'head_position_x':0.07972242, 'head_position_y':0.9955873, 'head_position_z':-0.3924352
'global_time':3.25024, 'head_position_x':0.07956222, 'head_position_y':0.9958038, 'head_position_z':-0.3921045
'global_time':3.264213, 'head_position_x':0.07943875, 'head_position_y':0.9958287, 'head_position_z':-0.3918976
'global_time':3.275948, 'head_position_x':0.07931139, 'head_position_y':0.9959403, 'head_position_z':-0.3917176
'global_time':3.28541, 'head_position_x':0.07918091, 'head_position_y':0.9960376, 'head_position_z':-0.391528
'global_time':3.296223, 'head_position_x':0.0789041, 'head_position_y':0.9962202, 'head_position_z':-0.3911497
'global_time':3.308469, 'head_position_x':0.07873604, 'head_position_y':0.9963496, 'head_position_z':-0.3908758
'global_time':3.320457, 'head_position_x':0.0785417, 'head_position_y':0.996486, 'head_position_z':-0.3906176
'global_time':3.333483, 'head_position_x':0.07804396, 'head_position_y':0.9967784, 'head_position_z':-0.3900973
'global_time':3.344567, 'head_position_x':0.07782349, 'head_position_y':0.9969602, 'head_position_z':-0.3899591
'global_time':3.357098, 'head_position_x':0.07757613, 'head_position_y':0.9970721, 'head_position_z':-0.3898127
'global_time':3.369021, 'head_position_x':0.07744391, 'head_position_y':0.9971917, 'head_position_z':-0.3898216
'global_time':3.385078, 'head_position_x':0.07723089, 'head_position_y':0.9973865, 'head_position_z':-0.3897808
'global_time':3.397222, 'head_position_x':0.07705519, 'head_position_y':0.9975384, 'head_position_z':-0.38978
