'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.594568, 'head_vector_x':-0.1336979, 'head_vector_y':-0.6570606, 'head_vector_z':0.741887
'global_time':1.609691, 'head_vector_x':-0.1325252, 'head_vector_y':-0.6565461, 'head_vector_z':0.7425526
'global_time':1.620239, 'head_vector_x':-0.1310397, 'head_vector_y':-0.6560701, 'head_vector_z':0.7432367
'global_time':1.631593, 'head_vector_x':-0.1293982, 'head_vector_y':-0.6557424, 'head_vector_z':0.7438132
'global_time':1.644175, 'head_vector_x':-0.1279422, 'head_vector_y':-0.6553561, 'head_vector_z':0.7444053
'global_time':1.658488, 'head_vector_x':-0.1250226, 'head_vector_y':-0.654913, 'head_vector_z':0.7452908
'global_time':1.669168, 'head_vector_x':-0.123194, 'head_vector_y':-0.6545488, 'head_vector_z':0.7459149
'global_time':1.680717, 'head_vector_x':-0.1212777, 'head_vector_y':-0.6546713, 'head_vector_z':0.7461214
'global_time':1.692248, 'head_vector_x':-0.1197466, 'head_vector_y':-0.6543249, 'head_vector_z':0.7466724
'global_time':1.704505, 'head_vector_x':-0.117859, 'head_vector_y':-0.6540481, 'head_vector_z':0.747215
'global_time':1.716723, 'head_vector_x':-0.1164723, 'head_vector_y':-0.6536427, 'head_vector_z':0.7477871
'global_time':1.728766, 'head_vector_x':-0.1149099, 'head_vector_y':-0.6533533, 'head_vector_z':0.7482815
'global_time':1.740311, 'head_vector_x':-0.1134712, 'head_vector_y':-0.6531571, 'head_vector_z':0.7486722
'global_time':1.753184, 'head_vector_x':-0.1119322, 'head_vector_y':-0.6532351, 'head_vector_z':0.7488358
'global_time':1.770726, 'head_vector_x':-0.1102563, 'head_vector_y':-0.6533303, 'head_vector_z':0.7490014
'global_time':1.781223, 'head_vector_x':-0.1064163, 'head_vector_y':-0.6544209, 'head_vector_z':0.7486047
'global_time':1.792695, 'head_vector_x':-0.1046103, 'head_vector_y':-0.6537888, 'head_vector_z':0.749411
'global_time':1.804953, 'head_vector_x':-0.1029377, 'head_vector_y':-0.6551593, 'head_vector_z':0.7484452
