'global_time':32.92256, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.193244, 'gaze_y':0.8702703, 'gaze_z':4.951642, 'useGaze': True
'global_time':34.21166, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.938469, 'gaze_y':2.975771, 'gaze_z':1.625013, 'useGaze': True
'global_time':35.99982, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.954138, 'gaze_y':1.357886, 'gaze_z':2.034566, 'useGaze': True
'global_time':38.94921, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.962039, 'gaze_y':1.349604, 'gaze_z':0.4016139, 'useGaze': True
'global_time':42.05937, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.946073, 'gaze_y':2.064774, 'gaze_z':1.826218, 'useGaze': True
'global_time':43.69512, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.951662, 'gaze_y':1.465305, 'gaze_z':1.658031, 'useGaze': True
'global_time':44.76734, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.942702, 'gaze_y':2.054917, 'gaze_z':3.523354, 'useGaze': True
'global_time':49.72978, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':1.012364, 'gaze_y':0.7119943, 'gaze_z':4.952878, 'useGaze': True
'global_time':50.11868, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.7074807, 'gaze_y':1.112414, 'gaze_z':4.947299, 'useGaze': True
'global_time':51.20999, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.949769, 'gaze_y':1.063749, 'gaze_z':3.65375, 'useGaze': True
'global_time':51.85214, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.388437, 'gaze_y':2.048997, 'gaze_z':5.006677, 'useGaze': True
'global_time':52.45609, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.945918, 'gaze_y':2.435916, 'gaze_z':3.934662, 'useGaze': True
'global_time':53.04409, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.139098, 'gaze_y':1.181355, 'gaze_z':4.938861, 'useGaze': True
'global_time':53.85245, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.941491, 'gaze_y':2.342458, 'gaze_z':2.192595, 'useGaze': True
'global_time':54.3796, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.943323, 'gaze_y':1.386767, 'gaze_z':2.453981, 'useGaze': True
