'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.483212, 'head_vector_x':-0.06266774, 'head_vector_y':0.003555868, 'head_vector_z':0.9980281
'global_time':1.494335, 'head_vector_x':-0.05933026, 'head_vector_y':0.01140395, 'head_vector_z':0.9981733
'global_time':1.50899, 'head_vector_x':-0.05597331, 'head_vector_y':0.02034105, 'head_vector_z':0.998225
'global_time':1.519507, 'head_vector_x':-0.05280617, 'head_vector_y':0.02989478, 'head_vector_z':0.9981572
'global_time':1.529534, 'head_vector_x':-0.04964208, 'head_vector_y':0.03911028, 'head_vector_z':0.998001
'global_time':1.540254, 'head_vector_x':-0.04604062, 'head_vector_y':0.04735418, 'head_vector_z':0.9978166
'global_time':1.873587, 'head_vector_x':-0.04278871, 'head_vector_y':0.05515783, 'head_vector_z':0.9975604
'global_time':1.889877, 'head_vector_x':0.02455081, 'head_vector_y':0.1872432, 'head_vector_z':0.9820067
'global_time':1.901009, 'head_vector_x':0.02645637, 'head_vector_y':0.1867232, 'head_vector_z':0.9820563
'global_time':1.911799, 'head_vector_x':0.02838549, 'head_vector_y':0.1852441, 'head_vector_z':0.9822825
'global_time':1.922728, 'head_vector_x':0.03060428, 'head_vector_y':0.1841133, 'head_vector_z':0.9824284
'global_time':1.934672, 'head_vector_x':0.03222771, 'head_vector_y':0.1830436, 'head_vector_z':0.9825764
'global_time':1.945343, 'head_vector_x':0.03403638, 'head_vector_y':0.1823289, 'head_vector_z':0.9826483
'global_time':1.956928, 'head_vector_x':0.03553937, 'head_vector_y':0.1818382, 'head_vector_z':0.982686
'global_time':1.968279, 'head_vector_x':0.0366603, 'head_vector_y':0.182734, 'head_vector_z':0.9824787
'global_time':1.980777, 'head_vector_x':0.03761658, 'head_vector_y':0.1839337, 'head_vector_z':0.9822186
'global_time':1.990955, 'head_vector_x':0.0385579, 'head_vector_y':0.1848839, 'head_vector_z':0.9820037
'global_time':2.000332, 'head_vector_x':0.03941865, 'head_vector_y':0.1859758, 'head_vector_z':0.9817633
'global_time':2.012686, 'head_vector_x':0.04013545, 'head_vector_y':0.1875461, 'head_vector_z':0.9814355
'global_time':2.023962, 'head_vector_x':0.04072143, 'head_vector_y':0.1891551, 'head_vector_z':0.9811025
'global_time':2.037107, 'head_vector_x':0.04116225, 'head_vector_y':0.19119, 'head_vector_z':0.9806896
'global_time':2.048588, 'head_vector_x':0.04173303, 'head_vector_y':0.1930705, 'head_vector_z':0.980297
'global_time':2.059886, 'head_vector_x':0.0420748, 'head_vector_y':0.1954668, 'head_vector_z':0.9798073
'global_time':2.070061, 'head_vector_x':0.04238356, 'head_vector_y':0.1981315, 'head_vector_z':0.9792587
'global_time':2.082537, 'head_vector_x':0.04290221, 'head_vector_y':0.2010723, 'head_vector_z':0.9786364
'global_time':2.093799, 'head_vector_x':0.04324299, 'head_vector_y':0.204289, 'head_vector_z':0.977955
'global_time':2.104776, 'head_vector_x':0.04374213, 'head_vector_y':0.2072184, 'head_vector_z':0.9773163
