'global_time':3.413874, 'center_x':-3.119998, 'center_y':2, 'center_z':6, 'gaze_x':-2.803566, 'gaze_y':2.35307, 'gaze_z':5.997873
'global_time':3.425485, 'center_x':-3.039998, 'center_y':2, 'center_z':6, 'gaze_x':-2.932001, 'gaze_y':2.323729, 'gaze_z':5.99809
'global_time':3.438587, 'center_x':-2.959998, 'center_y':2, 'center_z':6, 'gaze_x':-3.053986, 'gaze_y':2.293149, 'gaze_z':5.998306
'global_time':3.45049, 'center_x':-2.879998, 'center_y':2, 'center_z':6, 'gaze_x':-3.174901, 'gaze_y':2.258708, 'gaze_z':5.998558
'global_time':3.463447, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-3.290786, 'gaze_y':2.225071, 'gaze_z':5.998794
'global_time':3.475911, 'center_x':-2.719998, 'center_y':2, 'center_z':6, 'gaze_x':-3.397408, 'gaze_y':2.192199, 'gaze_z':5.999022
'global_time':3.488287, 'center_x':-2.639998, 'center_y':2, 'center_z':6, 'gaze_x':-3.493865, 'gaze_y':2.166912, 'gaze_z':5.999189
'global_time':3.499886, 'center_x':-2.559998, 'center_y':2, 'center_z':6, 'gaze_x':-3.571263, 'gaze_y':2.14918, 'gaze_z':5.999301
'global_time':3.511689, 'center_x':-2.479998, 'center_y':2, 'center_z':6, 'gaze_x':-3.636434, 'gaze_y':2.136004, 'gaze_z':5.999364
'global_time':3.654254, 'center_x':-1.519999, 'center_y':2, 'center_z':6, 'gaze_x':-2.731234, 'gaze_y':2.168298, 'gaze_z':5.998183
'global_time':3.667917, 'center_x':-1.519999, 'center_y':2, 'center_z':6, 'gaze_x':-2.593575, 'gaze_y':2.173412, 'gaze_z':5.998065
'global_time':3.680174, 'center_x':-1.439999, 'center_y':2, 'center_z':6, 'gaze_x':-2.297956, 'gaze_y':2.178147, 'gaze_z':5.997863
'global_time':3.691929, 'center_x':-1.359999, 'center_y':2, 'center_z':6, 'gaze_x':-2.147061, 'gaze_y':2.180189, 'gaze_z':5.997774
'global_time':3.704611, 'center_x':-1.279999, 'center_y':2, 'center_z':6, 'gaze_x':-1.997224, 'gaze_y':2.179023, 'gaze_z':5.997708
'global_time':3.716501, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-1.85243, 'gaze_y':2.179522, 'gaze_z':5.997621
'global_time':3.726641, 'center_x':-1.12, 'center_y':2, 'center_z':6, 'gaze_x':-1.716098, 'gaze_y':2.177725, 'gaze_z':5.997551
'global_time':3.738733, 'center_x':-1.04, 'center_y':2, 'center_z':6, 'gaze_x':-1.582855, 'gaze_y':2.174264, 'gaze_z':5.997496
'global_time':3.752352, 'center_x':-0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':-1.447635, 'gaze_y':2.169538, 'gaze_z':5.997457
'global_time':3.764453, 'center_x':-0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':-1.306023, 'gaze_y':2.163122, 'gaze_z':5.997433
'global_time':3.774447, 'center_x':-0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.162371, 'gaze_y':2.155958, 'gaze_z':5.99742
'global_time':3.785757, 'center_x':-0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.026112, 'gaze_y':2.150416, 'gaze_z':5.997401
'global_time':3.800135, 'center_x':-0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':-0.8987811, 'gaze_y':2.142531, 'gaze_z':5.997409
'global_time':3.812499, 'center_x':-0.6399998, 'center_y':2, 'center_z':6, 'gaze_x':-0.6599871, 'gaze_y':2.125154, 'gaze_z':5.997464
'global_time':3.823905, 'center_x':-0.5599998, 'center_y':2, 'center_z':6, 'gaze_x':-0.5385139, 'gaze_y':2.114604, 'gaze_z':5.997513
'global_time':3.834783, 'center_x':-0.4799998, 'center_y':2, 'center_z':6, 'gaze_x':-0.4137641, 'gaze_y':2.102622, 'gaze_z':5.997578
'global_time':3.848473, 'center_x':-0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.2883239, 'gaze_y':2.089613, 'gaze_z':5.997655
'global_time':3.859667, 'center_x':-0.3199999, 'center_y':2, 'center_z':6, 'gaze_x':-0.1643786, 'gaze_y':2.078469, 'gaze_z':5.99772
'global_time':3.874391, 'center_x':-0.2399999, 'center_y':2, 'center_z':6, 'gaze_x':-0.04519272, 'gaze_y':2.068056, 'gaze_z':5.997784
'global_time':3.886947, 'center_x':-0.1599999, 'center_y':2, 'center_z':6, 'gaze_x':0.06301454, 'gaze_y':2.060019, 'gaze_z':5.997833
'global_time':3.9008, 'center_x':-0.07999997, 'center_y':2, 'center_z':6, 'gaze_x':0.166515, 'gaze_y':2.055713, 'gaze_z':5.997857
'global_time':3.912372, 'center_x':0, 'center_y':2, 'center_z':6, 'gaze_x':0.3598718, 'gaze_y':2.055806, 'gaze_z':5.997846
'global_time':3.92389, 'center_x':0.07999997, 'center_y':2, 'center_z':6, 'gaze_x':0.4628049, 'gaze_y':2.052109, 'gaze_z':5.99787
'global_time':3.935226, 'center_x':0.1599999, 'center_y':2, 'center_z':6, 'gaze_x':0.5677353, 'gaze_y':2.047703, 'gaze_z':5.997899
'global_time':3.948456, 'center_x':0.2399999, 'center_y':2, 'center_z':6, 'gaze_x':0.6666969, 'gaze_y':2.044586, 'gaze_z':5.99792
'global_time':3.959591, 'center_x':0.3199999, 'center_y':2, 'center_z':6, 'gaze_x':0.7554101, 'gaze_y':2.044332, 'gaze_z':5.997923
'global_time':3.971817, 'center_x':0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':0.8348659, 'gaze_y':2.045398, 'gaze_z':5.997919
'global_time':3.984962, 'center_x':0.4799998, 'center_y':2, 'center_z':6, 'gaze_x':0.9027177, 'gaze_y':2.052179, 'gaze_z':5.997872
'global_time':3.996479, 'center_x':0.5599998, 'center_y':2, 'center_z':6, 'gaze_x':0.9735504, 'gaze_y':2.059761, 'gaze_z':5.997819
'global_time':4.007353, 'center_x':0.6399998, 'center_y':2, 'center_z':6, 'gaze_x':1.049647, 'gaze_y':2.062449, 'gaze_z':5.997805
'global_time':4.017092, 'center_x':0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':1.126532, 'gaze_y':2.060667, 'gaze_z':5.997818
'global_time':4.031088, 'center_x':0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':1.203672, 'gaze_y':2.05547, 'gaze_z':5.997855
'global_time':4.042688, 'center_x':0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':1.275023, 'gaze_y':2.048837, 'gaze_z':5.997902
'global_time':4.053991, 'center_x':0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':1.343246, 'gaze_y':2.043206, 'gaze_z':5.997942
'global_time':4.066559, 'center_x':0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':1.403617, 'gaze_y':2.038615, 'gaze_z':5.997979
'global_time':4.080083, 'center_x':1.04, 'center_y':2, 'center_z':6, 'gaze_x':1.523378, 'gaze_y':2.032957, 'gaze_z':5.998027
'global_time':4.091074, 'center_x':1.12, 'center_y':2, 'center_z':6, 'gaze_x':1.586152, 'gaze_y':2.029856, 'gaze_z':5.998055
'global_time':4.103742, 'center_x':1.2, 'center_y':2, 'center_z':6, 'gaze_x':1.650937, 'gaze_y':2.023075, 'gaze_z':5.998115
'global_time':4.117387, 'center_x':1.279999, 'center_y':2, 'center_z':6, 'gaze_x':1.717087, 'gaze_y':2.013684, 'gaze_z':5.998197
'global_time':4.128966, 'center_x':1.359999, 'center_y':2, 'center_z':6, 'gaze_x':1.780994, 'gaze_y':2.006427, 'gaze_z':5.998269
'global_time':4.141546, 'center_x':1.439999, 'center_y':2, 'center_z':6, 'gaze_x':1.839985, 'gaze_y':1.997854, 'gaze_z':5.998356
