'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':1.493391, 'head_position_x':0.2702448, 'head_position_y':1.732634, 'head_position_z':-0.5440199
'global_time':1.508268, 'head_position_x':0.2699355, 'head_position_y':1.732829, 'head_position_z':-0.5439392
'global_time':1.520957, 'head_position_x':0.2695868, 'head_position_y':1.733015, 'head_position_z':-0.5440168
'global_time':1.532693, 'head_position_x':0.2690797, 'head_position_y':1.733191, 'head_position_z':-0.5440817
'global_time':1.543379, 'head_position_x':0.2686804, 'head_position_y':1.733382, 'head_position_z':-0.5441199
'global_time':1.554985, 'head_position_x':0.2683898, 'head_position_y':1.733447, 'head_position_z':-0.5441549
'global_time':1.566632, 'head_position_x':0.2680447, 'head_position_y':1.733612, 'head_position_z':-0.5441607
'global_time':1.899965, 'head_position_x':0.2677452, 'head_position_y':1.733684, 'head_position_z':-0.5441926
'global_time':1.919431, 'head_position_x':0.2455697, 'head_position_y':1.735035, 'head_position_z':-0.551144
'global_time':1.930527, 'head_position_x':0.2456382, 'head_position_y':1.735039, 'head_position_z':-0.5512529
'global_time':1.942743, 'head_position_x':0.2458524, 'head_position_y':1.735055, 'head_position_z':-0.5513152
'global_time':1.953168, 'head_position_x':0.2459422, 'head_position_y':1.735022, 'head_position_z':-0.5514293
'global_time':1.967326, 'head_position_x':0.2459135, 'head_position_y':1.734996, 'head_position_z':-0.5516103
'global_time':1.979162, 'head_position_x':0.2460272, 'head_position_y':1.734913, 'head_position_z':-0.5516285
'global_time':1.992348, 'head_position_x':0.2462065, 'head_position_y':1.734993, 'head_position_z':-0.5517814
'global_time':2.005126, 'head_position_x':0.2462991, 'head_position_y':1.735008, 'head_position_z':-0.5518805
'global_time':2.017773, 'head_position_x':0.2465253, 'head_position_y':1.73504, 'head_position_z':-0.5519296
'global_time':2.029925, 'head_position_x':0.2466226, 'head_position_y':1.735083, 'head_position_z':-0.5520259
'global_time':2.042736, 'head_position_x':0.2466064, 'head_position_y':1.735126, 'head_position_z':-0.5520276
'global_time':2.054215, 'head_position_x':0.2467209, 'head_position_y':1.73514, 'head_position_z':-0.5521274
'global_time':2.068444, 'head_position_x':0.2469651, 'head_position_y':1.735152, 'head_position_z':-0.5522474
'global_time':2.081805, 'head_position_x':0.2470572, 'head_position_y':1.735147, 'head_position_z':-0.552501
'global_time':2.093827, 'head_position_x':0.2472712, 'head_position_y':1.735142, 'head_position_z':-0.5525789
'global_time':2.114472, 'head_position_x':0.2473981, 'head_position_y':1.735154, 'head_position_z':-0.5526748
