'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':2.72346, 'gaze_vector_x':-0.05313661, 'gaze_vector_y':0.1461892, 'gaze_vector_z':0.9878286
'gaze_vector':2.736923, 'gaze_vector_x':-0.05385063, 'gaze_vector_y':0.1466994, 'gaze_vector_z':0.9877142
'gaze_vector':2.75059, 'gaze_vector_x':-0.05415013, 'gaze_vector_y':0.1470134, 'gaze_vector_z':0.9876512
'gaze_vector':2.763101, 'gaze_vector_x':-0.05461256, 'gaze_vector_y':0.14722, 'gaze_vector_z':0.987595
'gaze_vector':2.776058, 'gaze_vector_x':-0.05520947, 'gaze_vector_y':0.1471629, 'gaze_vector_z':0.9875702
'gaze_vector':2.788372, 'gaze_vector_x':-0.05587663, 'gaze_vector_y':0.1474429, 'gaze_vector_z':0.987491
'gaze_vector':2.800111, 'gaze_vector_x':-0.05644376, 'gaze_vector_y':0.1472924, 'gaze_vector_z':0.9874812
'gaze_vector':2.814038, 'gaze_vector_x':-0.05758568, 'gaze_vector_y':0.1467276, 'gaze_vector_z':0.9874993
'gaze_vector':2.82564, 'gaze_vector_x':-0.05822015, 'gaze_vector_y':0.1463508, 'gaze_vector_z':0.987518
'gaze_vector':2.83827, 'gaze_vector_x':-0.0588783, 'gaze_vector_y':0.1459934, 'gaze_vector_z':0.9875319
'gaze_vector':2.849184, 'gaze_vector_x':-0.0596588, 'gaze_vector_y':0.1459792, 'gaze_vector_z':0.9874871
'gaze_vector':2.861043, 'gaze_vector_x':-0.0605183, 'gaze_vector_y':0.1459326, 'gaze_vector_z':0.9874417
'gaze_vector':2.87457, 'gaze_vector_x':-0.06119119, 'gaze_vector_y':0.1460115, 'gaze_vector_z':0.9873886
'gaze_vector':2.886885, 'gaze_vector_x':-0.06206653, 'gaze_vector_y':0.1462182, 'gaze_vector_z':0.9873034
'gaze_vector':2.898201, 'gaze_vector_x':-0.06338874, 'gaze_vector_y':0.1466002, 'gaze_vector_z':0.9871627
'gaze_vector':2.910665, 'gaze_vector_x':-0.06473625, 'gaze_vector_y':0.1468254, 'gaze_vector_z':0.9870418
'gaze_vector':2.921766, 'gaze_vector_x':-0.06637514, 'gaze_vector_y':0.1470492, 'gaze_vector_z':0.9868996
'gaze_vector':2.932858, 'gaze_vector_x':-0.0680345, 'gaze_vector_y':0.1472116, 'gaze_vector_z':0.9867624
'gaze_vector':2.942512, 'gaze_vector_x':-0.06970561, 'gaze_vector_y':0.1469673, 'gaze_vector_z':0.9866822
'gaze_vector':2.95424, 'gaze_vector_x':-0.07161053, 'gaze_vector_y':0.1470035, 'gaze_vector_z':0.9865404
'gaze_vector':2.965485, 'gaze_vector_x':-0.07327916, 'gaze_vector_y':0.1472649, 'gaze_vector_z':0.9863788
'gaze_vector':2.976753, 'gaze_vector_x':-0.07521926, 'gaze_vector_y':0.1475365, 'gaze_vector_z':0.9861922
'gaze_vector':2.988906, 'gaze_vector_x':-0.07681401, 'gaze_vector_y':0.1478621, 'gaze_vector_z':0.9860205
'gaze_vector':3.000773, 'gaze_vector_x':-0.07858504, 'gaze_vector_y':0.1482749, 'gaze_vector_z':0.9858189
'gaze_vector':3.012233, 'gaze_vector_x':-0.08205862, 'gaze_vector_y':0.1484096, 'gaze_vector_z':0.9855156
'gaze_vector':3.023805, 'gaze_vector_x':-0.08388319, 'gaze_vector_y':0.1484661, 'gaze_vector_z':0.9853535
'gaze_vector':3.034509, 'gaze_vector_x':-0.08572188, 'gaze_vector_y':0.1484078, 'gaze_vector_z':0.985204
'gaze_vector':3.048007, 'gaze_vector_x':-0.08785443, 'gaze_vector_y':0.1483027, 'gaze_vector_z':0.985032
'gaze_vector':3.058852, 'gaze_vector_x':-0.09012751, 'gaze_vector_y':0.1481311, 'gaze_vector_z':0.9848524
'gaze_vector':3.070486, 'gaze_vector_x':-0.09295288, 'gaze_vector_y':0.1478788, 'gaze_vector_z':0.9846277
'gaze_vector':3.081552, 'gaze_vector_x':-0.09626178, 'gaze_vector_y':0.1472878, 'gaze_vector_z':0.9843983
'gaze_vector':3.092624, 'gaze_vector_x':-0.1002328, 'gaze_vector_y':0.1464572, 'gaze_vector_z':0.9841259
'gaze_vector':3.104624, 'gaze_vector_x':-0.10489, 'gaze_vector_y':0.1453352, 'gaze_vector_z':0.9838068
'gaze_vector':3.116762, 'gaze_vector_x':-0.1098087, 'gaze_vector_y':0.1441369, 'gaze_vector_z':0.9834463
'gaze_vector':3.129797, 'gaze_vector_x':-0.1167827, 'gaze_vector_y':0.1429049, 'gaze_vector_z':0.9828225
'gaze_vector':3.141888, 'gaze_vector_x':-0.1247342, 'gaze_vector_y':0.1412509, 'gaze_vector_z':0.9820843
'gaze_vector':3.155256, 'gaze_vector_x':-0.1336905, 'gaze_vector_y':0.1394969, 'gaze_vector_z':0.9811562
'gaze_vector':3.166951, 'gaze_vector_x':-0.1429025, 'gaze_vector_y':0.1377198, 'gaze_vector_z':0.9801082
'gaze_vector':3.178629, 'gaze_vector_x':-0.1522262, 'gaze_vector_y':0.135633, 'gaze_vector_z':0.9789948
'gaze_vector':3.191313, 'gaze_vector_x':-0.1710435, 'gaze_vector_y':0.1325743, 'gaze_vector_z':0.9763033
